row_index,pair_id,base_id,topic,error_family,scope,neighbor_pool_size,same_family_neighbor_count,other_family_neighbor_count,source_anchor_norm,target_anchor_norm,steering_direction_norm,delta_norm_before,delta_norm_after,cosine_before_after,baseline_prediction,steered_prediction,prediction_changed,baseline_own_probability,steered_own_probability,own_probability_delta
0,b01_causal_substitution,b01,astronomy,causal_substitution,knn_local,15,9,6,0.13285203278064728,0.14174962043762207,0.2026713490486145,0.36667439341545105,0.36148297786712646,0.9129432439804077,causal_substitution,entity_swap,True,0.3169891485727192,0.2215155941854675,-0.09547355438725169
1,b01_definition_substitution,b01,astronomy,definition_substitution,knn_local,15,1,14,0.33141782879829407,0.11522150784730911,0.3466912508010864,0.270734578371048,0.3608523905277252,0.6955410242080688,definition_substitution,role_inversion,True,0.24346016566544557,0.21655021566044272,-0.026909950005002847
2,b01_entity_swap,b01,astronomy,entity_swap,knn_local,15,12,3,0.1587606519460678,0.23283962905406952,0.2841514050960541,0.5277799367904663,0.5482274889945984,0.9222390651702881,entity_swap,role_inversion,True,0.31517428317121143,0.21927029442097487,-0.09590398875023656
3,b01_numeric_distortion,b01,astronomy,numeric_distortion,knn_local,15,4,11,0.13855457305908203,0.09171944111585617,0.17806196212768555,0.2698119580745697,0.2680533528327942,0.876724123954773,numeric_distortion,role_inversion,True,0.2991315627632192,0.21364052517902557,-0.08549103758419366
4,b01_role_inversion,b01,astronomy,role_inversion,knn_local,15,3,12,0.2457737773656845,0.0861506536602974,0.27484387159347534,0.25513020157814026,0.2988150417804718,0.7338395714759827,role_inversion,definition_substitution,True,0.2800095769755168,0.13705467894409587,-0.14295489803142095
5,b02_causal_substitution,b02,biology,causal_substitution,knn_local,15,5,10,0.1381693333387375,0.0944967269897461,0.18324223160743713,0.26804810762405396,0.27565041184425354,0.8725788593292236,causal_substitution,numeric_distortion,True,0.2627931599172418,0.19270258860972586,-0.07009057130751592
6,b02_definition_substitution,b02,biology,definition_substitution,knn_local,15,3,12,0.1821957230567932,0.09242833405733109,0.20613700151443481,0.2897149920463562,0.3252947926521301,0.8799054622650146,definition_substitution,role_inversion,True,0.24952662584739632,0.19585328910257338,-0.05367333674482294
7,b02_entity_swap,b02,biology,entity_swap,knn_local,15,2,13,0.32577210664749146,0.10022193193435669,0.34921422600746155,0.4955044090747833,0.5897394418716431,0.897821307182312,entity_swap,entity_swap,False,0.2878500260997466,0.2277242313322316,-0.06012579476751498
8,b02_numeric_distortion,b02,biology,numeric_distortion,knn_local,15,15,0,0.11118313670158386,0.024003006517887115,0.13069406151771545,0.32730939984321594,0.29918211698532104,0.9549813270568848,numeric_distortion,numeric_distortion,False,0.3237922526500174,0.2342177455372895,-0.08957450711272788
9,b02_role_inversion,b02,biology,role_inversion,knn_local,15,11,4,0.17680878937244415,0.15776892006397247,0.25873520970344543,0.47649314999580383,0.4512496888637543,0.9139169454574585,role_inversion,role_inversion,False,0.5231673212871525,0.27589760790826434,-0.24726971337888815
10,b03_causal_substitution,b03,chemistry,causal_substitution,knn_local,15,10,5,0.10547103732824326,0.15467646718025208,0.19924892485141754,0.24891412258148193,0.27217864990234375,0.8391852378845215,causal_substitution,role_inversion,True,0.2958752944566883,0.21891950209473882,-0.0769557923619495
11,b03_definition_substitution,b03,chemistry,definition_substitution,knn_local,15,5,10,0.12626756727695465,0.0951870009303093,0.1619490683078766,0.18313179910182953,0.19596558809280396,0.7967501282691956,definition_substitution,numeric_distortion,True,0.23586292990499141,0.20198127929517729,-0.03388165060981413
12,b03_entity_swap,b03,chemistry,entity_swap,knn_local,15,0,15,0.08277234435081482,0.07419060170650482,0.12861962616443634,0.2119440734386444,0.2071572095155716,0.8942901492118835,entity_swap,definition_substitution,True,0.25041717870530183,0.18348079861979405,-0.06693638008550779
13,b03_numeric_distortion,b03,chemistry,numeric_distortion,knn_local,15,3,12,0.17771056294441223,0.1500265896320343,0.2698260247707367,0.2062663584947586,0.23356828093528748,0.5827076435089111,numeric_distortion,role_inversion,True,0.27293456743256794,0.16611220605389573,-0.10682236137867221
14,b03_role_inversion,b03,chemistry,role_inversion,knn_local,15,10,5,0.18335843086242676,0.14365097880363464,0.2505200505256653,0.29187414050102234,0.26784613728523254,0.7779067754745483,role_inversion,causal_substitution,True,0.44150020514329863,0.22433761770523333,-0.2171625874380653
15,b04_causal_substitution,b04,geography,causal_substitution,knn_local,15,11,4,0.12312900274991989,0.1844494789838791,0.2239430844783783,0.3262704610824585,0.31740647554397583,0.8641802072525024,causal_substitution,causal_substitution,False,0.3445542379887242,0.2530442740976145,-0.09150996389110971
16,b04_definition_substitution,b04,geography,definition_substitution,knn_local,15,4,11,0.17882558703422546,0.11009779572486877,0.209092915058136,0.38085171580314636,0.403794527053833,0.9217545986175537,definition_substitution,definition_substitution,False,0.24971191284504066,0.21107950438049067,-0.03863240846454999
17,b04_entity_swap,b04,geography,entity_swap,knn_local,15,7,8,0.19905991852283478,0.11876263469457626,0.25631818175315857,0.456225723028183,0.4981100857257843,0.9225494265556335,entity_swap,role_inversion,True,0.2429713604828855,0.1750728415770179,-0.0678985189058676
18,b04_numeric_distortion,b04,geography,numeric_distortion,knn_local,15,6,9,0.12779496610164642,0.1155426949262619,0.18653504550457,0.28263968229293823,0.2722156345844269,0.8735120296478271,numeric_distortion,causal_substitution,True,0.31558586433610114,0.22696130326318084,-0.0886245610729203
19,b04_role_inversion,b04,geography,role_inversion,knn_local,15,12,3,0.17944225668907166,0.16627584397792816,0.24724815785884857,0.34432587027549744,0.33748477697372437,0.8522446155548096,role_inversion,role_inversion,False,0.4625487738368876,0.25363710429798086,-0.20891166953890672
