family_left,family_right,shared_dim,mean_principal_angle_deg,max_principal_angle_deg
causal_substitution,causal_substitution,6,1.4631298654421698e-05,3.634399763541296e-05
causal_substitution,definition_substitution,6,66.5957260131836,89.11154174804688
causal_substitution,entity_swap,6,61.38020706176758,84.93201446533203
causal_substitution,numeric_distortion,6,58.9581413269043,86.47724151611328
causal_substitution,role_inversion,6,56.774322509765625,83.67333221435547
definition_substitution,causal_substitution,6,66.5959701538086,89.11308288574219
definition_substitution,definition_substitution,6,1.1313051800243556e-05,2.2621781681664288e-05
definition_substitution,entity_swap,6,67.90911865234375,86.83596801757812
definition_substitution,numeric_distortion,6,70.18242645263672,86.44083404541016
definition_substitution,role_inversion,6,68.77337646484375,85.48604583740234
entity_swap,causal_substitution,6,61.38022994995117,84.93213653564453
entity_swap,definition_substitution,6,67.90909576416016,86.8358383178711
entity_swap,entity_swap,6,1.0956287042063195e-05,2.3279919332708232e-05
entity_swap,numeric_distortion,6,64.6043930053711,88.40013885498047
entity_swap,role_inversion,6,66.22383117675781,89.39801025390625
numeric_distortion,causal_substitution,6,58.95815658569336,86.477294921875
numeric_distortion,definition_substitution,6,70.18241119384766,86.44084167480469
numeric_distortion,entity_swap,6,64.60431671142578,88.39977264404297
numeric_distortion,numeric_distortion,6,1.1188466487510595e-05,1.776189310476184e-05
numeric_distortion,role_inversion,6,54.6505126953125,76.0624008178711
role_inversion,causal_substitution,6,56.77433395385742,83.67339324951172
role_inversion,definition_substitution,6,68.77337646484375,85.48604583740234
role_inversion,entity_swap,6,66.22350311279297,89.39606475830078
role_inversion,numeric_distortion,6,54.6505126953125,76.06243133544922
role_inversion,role_inversion,6,1.0715352800616529e-05,2.0499697711784393e-05
