text,cluster_id,axis_1,axis_2,axis_3,axis_4,axis_5
cancer immunotherapy,2,0.4286357,0.25659707,0.57524043,0.0302098,0.21208158
T cell activation,2,0.32722908,0.23129919,0.54523456,-0.0023968942,0.036143865
machine learning model,1,-0.092153475,-0.51741123,-0.027038986,0.07463013,-0.12795317
neural network training,1,-0.1046958,-0.5293064,-0.02592524,0.09059552,0.16243076
financial market volatility,0,-0.51459116,0.38097787,0.18221813,0.2916669,-0.011047856
stock price prediction,0,-0.32592595,0.038239162,-0.0036502536,0.4176728,-0.09168513
protein folding simulation,2,0.22199368,0.07192085,-0.21537635,-0.43643713,-0.49452272
genomic mutation analysis,2,0.34451598,0.25451708,-0.37941018,0.08994915,-0.037358224
deep reinforcement learning,1,-0.06120643,-0.45186824,0.26216757,-0.10859301,0.07194153
bond market yield,0,-0.463531,0.38874748,-0.08378127,-0.10072603,0.044315226
single-cell RNA sequencing,2,0.5007025,0.20700578,-0.02698239,0.03463676,0.06343179
transformer fine-tuning,2,0.01598654,0.04549504,-0.10131824,-0.5581608,0.5462653
credit risk assessment,0,-0.23881756,0.19295833,-0.19766448,0.21124335,0.31765148
portfolio optimization,0,-0.24788931,-0.04129273,-0.15044928,0.22639534,0.024715535
drug target discovery,2,0.43481252,0.04150855,-0.035581492,0.1874351,-0.344186
gene expression profiling,2,0.47979176,0.08303015,-0.41559136,0.16779457,0.026403256
computer vision segmentation,1,0.0033298656,-0.3776285,-0.20725515,-0.05376778,0.111250624
federated learning system,1,0.0868964,-0.5410038,0.16165629,0.028795948,-0.0028555263
interest rate curve,0,-0.4160381,0.23280868,-0.12595516,-0.34615052,-0.018532634
options pricing model,0,-0.37904564,0.033405934,0.26946244,-0.24479362,-0.48848957
