text,cluster_id,axis_1,axis_2,axis_3,axis_4,axis_5
gene expression benchmark,2,-0.28651276,0.11603299,-0.18864484,0.024762174,0.147254
gene expression simulation,2,-0.29139382,0.002807669,-0.06330806,-0.03825696,0.008943028
gene expression analysis,2,-0.3704316,-0.00651021,-0.22551012,-0.020886201,0.18736103
gene expression prediction,2,-0.36326542,-0.0029023883,-0.21681356,-0.020908713,0.111355245
gene expression forecasting,2,-0.33335298,0.015599015,-0.1894689,-0.05966508,0.1418886
gene expression optimization,2,-0.35450652,0.03772423,-0.14035948,-0.022043113,0.036355134
gene expression modeling,2,-0.3739098,-0.05484757,-0.1742661,-0.05756761,0.07873303
gene expression detection,2,-0.36075106,-0.085478485,-0.2174734,-0.06039591,0.161684
gene expression classification,2,-0.34114048,-0.09479066,-0.27287933,-0.004874922,0.20896842
gene expression inference,2,-0.38600034,-0.05461482,-0.20296931,-0.03585362,0.096086666
gene expression workflow,2,-0.29541263,0.0847304,-0.10891156,-0.05331714,0.037377104
gene expression pipeline,2,-0.33631366,-0.0011596499,-0.14245608,-0.050489463,0.13084297
gene expression system,2,-0.29714558,-0.089466006,-0.18444699,-0.1052177,0.06307385
gene expression framework,2,-0.34356877,-0.013237597,-0.12507993,-0.08540051,0.08152114
gene expression dataset,2,-0.3417928,0.020731943,-0.25858158,-0.013217065,0.2199521
gene expression study,2,-0.36730435,-0.02217899,-0.25065938,-0.008704198,0.1167623
gene expression platform,2,-0.2617435,-0.016782511,-0.13981098,-0.04864354,0.05515463
gene expression experiment,2,-0.30882105,-0.042768843,-0.16376224,-0.045875635,-0.05042181
gene expression architecture,2,-0.32734218,-0.07428148,-0.069054864,-0.08047318,0.056541502
gene expression application,2,-0.32241628,-0.08342942,-0.20584269,-0.05631053,0.040935855
biology gene expression,2,-0.32404792,-0.09036464,-0.17352438,-0.13659154,0.057427276
single-cell sequencing benchmark,0,0.021527214,0.39931637,0.07156753,-0.42381874,-0.030753437
single-cell sequencing simulation,0,0.056900255,0.29944077,0.20673978,-0.5069516,-0.11484205
single-cell sequencing analysis,0,0.020092921,0.31272328,0.08278556,-0.5067395,0.0060522393
single-cell sequencing prediction,0,-0.026056843,0.32220173,0.053870022,-0.4655347,-0.027525185
single-cell sequencing forecasting,0,-0.0075020418,0.31080562,0.05700319,-0.4751325,-0.011637914
single-cell sequencing optimization,0,0.00760238,0.3532946,0.15453996,-0.49455693,-0.10306766
single-cell sequencing modeling,0,0.016380291,0.2864608,0.1370893,-0.5096908,-0.065539844
single-cell sequencing detection,0,0.04053422,0.2837489,0.07293093,-0.52564067,-0.010187221
single-cell sequencing classification,0,-0.0027137701,0.26995605,0.038665928,-0.4986765,0.019108836
single-cell sequencing inference,0,-0.008075452,0.2805381,0.06497712,-0.50291747,-0.028745076
single-cell sequencing workflow,0,0.020969752,0.35554442,0.1314977,-0.50610965,-0.090061024
single-cell sequencing pipeline,0,0.0014482914,0.30315897,0.12205968,-0.48307756,-0.033824388
single-cell sequencing system,0,0.044922054,0.31188476,0.13826282,-0.5506755,-0.07256308
single-cell sequencing framework,0,0.042658135,0.30719388,0.15177996,-0.5386188,-0.067487895
single-cell sequencing dataset,0,-0.021608584,0.34503427,0.037108142,-0.47309154,0.01167015
single-cell sequencing study,0,0.051063474,0.32448465,0.11632946,-0.5470858,-0.04859426
single-cell sequencing platform,0,0.054909755,0.30856553,0.15758154,-0.52742714,-0.09418139
single-cell sequencing experiment,0,0.05730353,0.27260324,0.16151069,-0.54198533,-0.12993164
single-cell sequencing architecture,0,0.04344395,0.29638678,0.17330247,-0.5407722,-0.09217411
single-cell sequencing application,0,0.052014,0.29592085,0.12954842,-0.5523438,-0.069013044
biology single-cell sequencing,0,0.0073757013,0.30170852,0.13663213,-0.541473,-0.055934336
protein folding benchmark,4,-0.24385397,-0.11449363,0.5796471,0.21451077,0.16514145
protein folding simulation,4,-0.21256068,-0.23001587,0.73784965,0.15434419,0.07445641
protein folding analysis,4,-0.29385334,-0.23075017,0.6705213,0.1791392,0.20888495
protein folding prediction,4,-0.32399127,-0.18049328,0.5810091,0.180034,0.15191203
protein folding forecasting,4,-0.28124264,-0.17769931,0.532099,0.12362698,0.16630149
protein folding optimization,4,-0.28639412,-0.1778657,0.6850256,0.15857497,0.09772531
protein folding modeling,4,-0.2661293,-0.27451286,0.70886534,0.16041088,0.11588587
protein folding detection,4,-0.24887207,-0.26485255,0.6002924,0.1330766,0.15629157
protein folding classification,4,-0.3047738,-0.23277752,0.55786204,0.16146705,0.2184042
protein folding inference,4,-0.31326166,-0.23313399,0.57540804,0.13401179,0.1592512
protein folding workflow,4,-0.19592148,-0.19796614,0.6452021,0.110562004,0.1145811
protein folding pipeline,4,-0.25028938,-0.2361429,0.61173445,0.1286135,0.14644025
protein folding system,4,-0.19338205,-0.33312097,0.734773,0.108529426,0.10415677
protein folding framework,4,-0.2323731,-0.27052605,0.70512104,0.12774739,0.120696895
protein folding dataset,4,-0.29361865,-0.11901837,0.49184683,0.13347168,0.21770148
protein folding study,4,-0.25716165,-0.27003708,0.7210506,0.18439382,0.16625649
protein folding platform,4,-0.16463159,-0.28528428,0.7278046,0.12313121,0.060787294
protein folding experiment,4,-0.21210544,-0.28989694,0.73556685,0.16483237,0.063871
protein folding architecture,4,-0.22554137,-0.2829219,0.7363096,0.13653655,0.10677361
protein folding application,4,-0.19259036,-0.33348542,0.73823684,0.15102738,0.112206675
biology protein folding,4,-0.26711923,-0.26589972,0.7068802,0.0860052,0.14362079
cancer immunotherapy benchmark,3,0.51785624,0.10495156,-0.10924887,0.23012327,0.12757331
cancer immunotherapy simulation,3,0.5839027,-0.00423646,0.016726676,0.15836497,0.036079813
cancer immunotherapy analysis,3,0.5687639,0.04218605,-0.11113281,0.22384708,0.21418329
cancer immunotherapy prediction,3,0.5018485,0.05684787,-0.13192111,0.20278177,0.12667423
cancer immunotherapy forecasting,3,0.48450944,0.04584875,-0.13934712,0.14965048,0.12195605
cancer immunotherapy optimization,3,0.5200316,0.03976437,-0.04233499,0.18706334,0.044163078
cancer immunotherapy modeling,3,0.53124255,-0.050516535,-0.017309546,0.15978627,0.087760806
cancer immunotherapy detection,3,0.59385145,-0.024691323,-0.09986331,0.1809965,0.12241253
cancer immunotherapy classification,3,0.54869413,0.025276255,-0.12418436,0.2172458,0.15327679
cancer immunotherapy inference,3,0.544988,-0.007365383,-0.13053453,0.1708556,0.13566406
cancer immunotherapy workflow,3,0.59309137,0.058430985,-0.05025872,0.1590535,0.08567555
cancer immunotherapy pipeline,3,0.50305545,-0.022029024,-0.04324483,0.15391722,0.1216156
cancer immunotherapy system,3,0.66934025,-0.053392477,-0.035788387,0.15997083,0.06810521
cancer immunotherapy framework,3,0.57092685,-0.021884745,-0.020331426,0.14848241,0.09573258
cancer immunotherapy dataset,3,0.46197096,0.072598405,-0.13922787,0.1978976,0.19464965
cancer immunotherapy study,3,0.6639811,0.053731702,-0.103798315,0.2492082,0.14074004
cancer immunotherapy platform,3,0.601748,-0.0073899147,-0.022983117,0.14467964,0.015687501
cancer immunotherapy experiment,3,0.64532447,-0.050909918,-0.049340293,0.16556054,0.013248491
cancer immunotherapy architecture,3,0.5864488,-0.06984156,0.014754802,0.15088694,0.07279852
cancer immunotherapy application,3,0.6457232,-0.046894006,-0.08655196,0.19782965,0.06111326
biology cancer immunotherapy,3,0.62134856,0.03182144,-0.041111354,0.1503295,0.09195689
genomic mutation benchmark,4,-0.13855211,0.52384865,0.043423656,0.24535656,-0.31558508
genomic mutation simulation,4,-0.13454993,0.45835543,0.1720077,0.19371705,-0.44099042
genomic mutation analysis,4,-0.23855945,0.501206,0.05664834,0.23468992,-0.34315112
genomic mutation prediction,4,-0.22697143,0.4581469,0.03748691,0.22307768,-0.3728391
genomic mutation forecasting,4,-0.18368737,0.45933053,0.03758433,0.1738674,-0.31097186
genomic mutation optimization,4,-0.2129813,0.49424672,0.106575556,0.20174415,-0.4162552
genomic mutation modeling,4,-0.20605779,0.46044004,0.11853182,0.21362664,-0.436727
genomic mutation detection,4,-0.19370331,0.44159093,0.033175416,0.20405746,-0.38898113
genomic mutation classification,4,-0.21269517,0.40040103,-0.013647537,0.24045196,-0.34393474
genomic mutation inference,4,-0.23719703,0.43847522,0.06642644,0.19863595,-0.40080974
genomic mutation workflow,4,-0.13849814,0.49406588,0.10704241,0.17098923,-0.41526026
genomic mutation pipeline,4,-0.199986,0.44618738,0.089312844,0.1757271,-0.3624232
genomic mutation system,4,-0.14520325,0.43988279,0.10580983,0.15143666,-0.46388605
genomic mutation framework,4,-0.18405606,0.46322283,0.11745183,0.17571877,-0.4121302
genomic mutation dataset,4,-0.19962806,0.48531675,-0.013637281,0.23687443,-0.29857194
genomic mutation study,4,-0.18778867,0.5150805,0.0712873,0.24236058,-0.42612922
genomic mutation platform,4,-0.13096716,0.44411734,0.10019027,0.17005476,-0.42687055
genomic mutation experiment,4,-0.15335518,0.45546412,0.10277781,0.19087566,-0.49425364
genomic mutation architecture,4,-0.16665184,0.42403504,0.14782628,0.17133687,-0.44269902
genomic mutation application,4,-0.16818997,0.4381791,0.081409246,0.19683802,-0.45645717
biology genomic mutation,4,-0.15095419,0.46005887,0.11083233,0.12603928,-0.45589057
cell signaling benchmark,0,0.08814937,-0.15429235,-0.124079704,-0.311308,0.06570423
cell signaling simulation,0,0.110813044,-0.28164774,0.032093074,-0.3923348,-0.05911807
cell signaling analysis,0,0.026648965,-0.28122887,-0.09979165,-0.38304263,0.11884426
cell signaling prediction,0,0.013906893,-0.2367726,-0.11469922,-0.34885132,0.02882083
cell signaling forecasting,0,0.063041985,-0.21599716,-0.08902594,-0.4246331,0.044639118
cell signaling optimization,0,0.04408427,-0.22659776,-0.027994508,-0.3632868,-0.047151335
cell signaling modeling,0,0.05795032,-0.33703992,-0.031654686,-0.40676174,-0.013064922
cell signaling detection,0,0.10902275,-0.32873094,-0.08745348,-0.4259208,0.046412688
cell signaling classification,0,0.0056045414,-0.31318954,-0.16032757,-0.33273956,0.09394195
cell signaling inference,0,0.029913977,-0.29432866,-0.1174115,-0.4133527,0.05962839
cell signaling workflow,0,0.10614425,-0.23084062,-0.041427758,-0.42317176,-0.0033617122
cell signaling pipeline,0,0.06545762,-0.26303825,-0.030120105,-0.4055974,0.059992306
cell signaling system,0,0.14564115,-0.35648334,-0.07222724,-0.42583293,-0.015815504
cell signaling framework,0,0.104782596,-0.32337016,-0.03662559,-0.43887648,0.01930831
cell signaling dataset,0,0.0025639976,-0.18344419,-0.15606856,-0.35704678,0.09715675
cell signaling study,0,0.07490733,-0.32280564,-0.114160836,-0.39559597,0.060603935
cell signaling platform,0,0.16538028,-0.31614864,-0.009246489,-0.40920368,-0.044428054
cell signaling experiment,0,0.1238943,-0.33788493,-0.06539653,-0.4138512,-0.08543501
cell signaling architecture,0,0.08047296,-0.3507873,-7.1911236e-06,-0.38418806,-0.02127389
cell signaling application,0,0.1261697,-0.3898381,-0.106495745,-0.42115316,-0.016644064
biology cell signaling,0,0.01529955,-0.28834286,-0.057034835,-0.4335441,0.01845121
drug target benchmark,1,-0.003977414,-0.30696192,-0.23863077,0.18625769,-0.30379283
drug target simulation,1,0.02576369,-0.44699618,-0.11045558,0.13012968,-0.44757375
drug target analysis,1,-0.065752134,-0.46867198,-0.30634406,0.13876124,-0.2969958
drug target prediction,1,-0.10386196,-0.41676107,-0.28930956,0.14786652,-0.35807654
drug target forecasting,1,-0.05751181,-0.40820786,-0.27340138,0.13184078,-0.33545431
drug target optimization,1,-0.06575103,-0.42515263,-0.16963165,0.13148905,-0.4024265
drug target modeling,1,-0.069548376,-0.502626,-0.1827863,0.118493214,-0.39251858
drug target detection,1,-0.041615307,-0.5161656,-0.260482,0.05965484,-0.34528318
drug target classification,1,-0.08179032,-0.45739794,-0.31664518,0.1242117,-0.3010689
drug target inference,1,-0.07489678,-0.46500188,-0.2845682,0.14043349,-0.34935743
drug target workflow,1,-0.0049525974,-0.38338345,-0.22252959,0.101134196,-0.3432167
drug target pipeline,1,-0.04618561,-0.42859757,-0.17260134,0.103142105,-0.29577243
drug target system,1,0.052999295,-0.5328371,-0.2005379,0.04264481,-0.43507123
drug target framework,1,-0.013938553,-0.46826896,-0.14877148,0.14041558,-0.3758057
drug target dataset,1,-0.08452435,-0.35682234,-0.3098398,0.13048095,-0.2627163
drug target study,1,0.010730981,-0.44247434,-0.34257546,0.18230549,-0.40580982
drug target platform,1,0.044373173,-0.46714985,-0.12644646,0.11025826,-0.42583677
drug target experiment,1,0.04696477,-0.47878984,-0.20146875,0.10445592,-0.49203962
drug target architecture,1,0.0027080143,-0.52833843,-0.08972414,0.10290033,-0.40002343
drug target application,1,0.025468387,-0.521188,-0.28883785,0.15032445,-0.43654138
biology drug target,1,-0.035475604,-0.46083745,-0.22842512,0.02670377,-0.40980068
immune checkpoint benchmark,3,0.5765716,0.1796233,0.02342832,0.16189119,0.12956683
immune checkpoint simulation,3,0.5895608,0.11064338,0.117938325,0.11515718,0.046736445
immune checkpoint analysis,3,0.637729,0.13960691,0.03335792,0.12038384,0.16681337
immune checkpoint prediction,3,0.5420224,0.14253978,0.0003649352,0.13448733,0.13876759
immune checkpoint forecasting,3,0.5445547,0.13682786,0.008371919,0.10523506,0.10949197
immune checkpoint optimization,3,0.59425277,0.13970447,0.09093425,0.116543055,0.05919953
immune checkpoint modeling,3,0.58145344,0.0843553,0.08553062,0.11269452,0.09271447
immune checkpoint detection,3,0.6152442,0.091721356,0.022671035,0.092660956,0.13877745
immune checkpoint classification,3,0.57214683,0.12124815,-0.0019535674,0.12091233,0.16948138
immune checkpoint inference,3,0.5767025,0.10439029,0.016956588,0.09521649,0.14693321
immune checkpoint workflow,3,0.59688646,0.13785754,0.06705348,0.10501149,0.0670391
immune checkpoint pipeline,3,0.5831786,0.10269144,0.06949755,0.117048904,0.11059909
