text,cluster_id,axis_1,axis_2,axis_3,axis_4,axis_5
gene expression benchmark,2,0.27400783,0.039397046,-0.19519635,-0.075177,0.2056001
gene expression simulation,2,0.23388836,-0.051107813,-0.034143817,-0.14618863,0.17091754
gene expression analysis,2,0.35642093,-0.10951395,-0.24650265,-0.1606749,0.32699695
gene expression prediction,2,0.30057105,-0.14052913,-0.15764132,-0.18775466,0.19228996
gene expression forecasting,2,0.2648803,-0.11675248,-0.1645842,-0.2230789,0.1738772
gene expression optimization,2,0.2931396,-0.0875614,-0.08541362,-0.05574855,0.19099823
gene expression modeling,2,0.2532336,-0.166981,-0.1398474,-0.17725122,0.1752363
gene expression detection,2,0.2574681,-0.08207396,-0.19726458,-0.1295778,0.29297706
gene expression classification,2,0.29765832,-0.17252557,-0.16886693,-0.17048818,0.30747238
gene expression inference,2,0.3213426,-0.12584837,-0.2196596,-0.14988297,0.24750909
gene expression workflow,2,0.22826083,-0.017315384,-0.1356181,-0.06968102,0.18344818
gene expression pipeline,2,0.1997304,-0.011146185,-0.21904016,-0.0006618694,0.11524631
gene expression system,2,0.25892976,-0.025857218,-0.1717432,-0.19676968,0.25388175
gene expression framework,2,0.20170727,-0.10652748,-0.15908644,-0.2019391,0.2351267
gene expression dataset,2,0.24338815,0.04218179,-0.19990358,-0.04784516,0.16815051
gene expression study,2,0.34187707,-0.065469906,-0.27527934,-0.13206735,0.3020168
gene expression platform,2,0.17188384,-0.02961898,-0.19992438,-0.084350325,0.07066216
gene expression experiment,2,0.2891994,0.0134562,-0.20764847,-0.06194559,0.26452243
gene expression architecture,2,0.24115103,-0.10875236,-0.032936264,-0.1697925,0.06182939
gene expression application,2,0.28608754,-0.10147795,-0.21859513,-0.10704572,0.2712317
biology gene expression,2,0.32673696,-0.125129,-0.13225721,-0.15707284,0.2921154
single-cell sequencing benchmark,0,-0.0013905171,0.6358925,-0.060680002,-0.028226959,-0.29800272
single-cell sequencing simulation,0,-0.036728434,0.5605468,0.018911552,-0.11914651,-0.33635384
single-cell sequencing analysis,0,-0.018175228,0.6280983,-0.1516786,-0.109735034,-0.2966574
single-cell sequencing prediction,0,0.031876672,0.5155662,-0.08656892,-0.11853705,-0.2991167
single-cell sequencing forecasting,0,-0.017114118,0.484343,-0.09446971,-0.16372164,-0.28653228
single-cell sequencing optimization,0,0.011726747,0.5755591,-0.053221323,-0.07382669,-0.3387345
single-cell sequencing modeling,0,-0.030877393,0.53927255,-0.03280331,-0.12910663,-0.34384975
single-cell sequencing detection,0,-0.03870139,0.5577527,-0.1179842,-0.10842646,-0.2637152
single-cell sequencing classification,0,0.006162122,0.5216275,-0.11311813,-0.15788937,-0.24894783
single-cell sequencing inference,0,0.009972175,0.55807513,-0.11584098,-0.13616082,-0.27505994
single-cell sequencing workflow,0,-0.031257756,0.57929826,-0.08288477,-0.08560735,-0.32518032
single-cell sequencing pipeline,0,-0.05864579,0.5890939,-0.13672465,-0.057151876,-0.38443917
single-cell sequencing system,0,-0.041217767,0.600991,-0.095894195,-0.11826465,-0.33817828
single-cell sequencing framework,0,-0.059019085,0.6206778,-0.10327724,-0.12278425,-0.37497768
single-cell sequencing dataset,0,-0.0041399454,0.6257349,-0.109322384,-0.06372468,-0.30929506
single-cell sequencing study,0,-0.0069454787,0.6473307,-0.12041831,-0.09101384,-0.31280106
single-cell sequencing platform,0,-0.057840247,0.5743956,-0.11839427,-0.075057894,-0.37841386
single-cell sequencing experiment,0,0.016303783,0.634977,-0.08428408,-0.093631744,-0.27698973
single-cell sequencing architecture,0,-0.034929253,0.57151985,-0.061298247,-0.093307056,-0.40202928
single-cell sequencing application,0,-0.018197032,0.5869354,-0.12200274,-0.10540208,-0.33482492
biology single-cell sequencing,0,0.013968876,0.6185562,-0.0990463,-0.13231151,-0.37584117
protein folding benchmark,4,0.32904655,0.015308323,0.5586749,-0.06935545,-0.06263764
protein folding simulation,4,0.3070662,-0.09776582,0.6467785,-0.16218401,-0.095295615
protein folding analysis,4,0.42298877,-0.1366187,0.5382446,-0.17946464,0.018434172
protein folding prediction,4,0.3742267,-0.20139098,0.5511964,-0.18530446,-0.0500464
protein folding forecasting,4,0.3453858,-0.14635924,0.4930814,-0.22423191,-0.08966718
protein folding optimization,4,0.36895278,-0.12216615,0.6068637,-0.09750024,-0.060319185
protein folding modeling,4,0.34922057,-0.18437107,0.61432457,-0.17575976,-0.120633796
