trace_id,task_family,outcome,best_static_axis,best_alignment,best_abs_alignment,residual_energy
trace_00001,arithmetic,correct,axis_1,-0.1178448349237442,0.1178448349237442,0.9930320382118225
trace_00001,arithmetic,correct,axis_1,-0.20786607265472412,0.20786607265472412,0.9781572818756104
trace_00002,symbolic_logic,incorrect,axis_5,-0.07015548646450043,0.07015548646450043,0.9975360631942749
trace_00002,symbolic_logic,incorrect,axis_3,0.11553390324115753,0.11553390324115753,0.9933035373687744
trace_00002,symbolic_logic,incorrect,axis_2,0.11665768921375275,0.11665768921375275,0.9931721687316895
trace_00002,symbolic_logic,incorrect,axis_2,-0.0856693685054779,0.0856693685054779,0.9963236451148987
trace_00002,symbolic_logic,incorrect,axis_1,0.08625783771276474,0.08625783771276474,0.99627286195755
trace_00003,temporal_ordering,correct,axis_1,-0.1452796757221222,0.1452796757221222,0.9893906116485596
trace_00003,temporal_ordering,correct,axis_1,0.05707892030477524,0.05707892030477524,0.9983696937561035
trace_00003,temporal_ordering,correct,axis_4,-0.16135559976100922,0.16135559976100922,0.9868963360786438
trace_00003,temporal_ordering,correct,axis_4,0.14798784255981445,0.14798784255981445,0.9889891743659973
trace_00003,temporal_ordering,correct,axis_4,-0.16595998406410217,0.16595998406410217,0.9861325025558472
trace_00003,temporal_ordering,correct,axis_4,0.22291606664657593,0.22291606664657593,0.9748376607894897
trace_00004,causal_micro_world,correct,axis_5,-0.22195304930210114,0.22195304930210114,0.9750573635101318
trace_00004,causal_micro_world,correct,axis_1,0.09924478828907013,0.09924478828907013,0.995063066482544
trace_00005,commonsense_multihop,incorrect,axis_1,-0.15677513182163239,0.15677513182163239,0.9876343011856079
trace_00005,commonsense_multihop,incorrect,axis_4,0.03412974253296852,0.03412974253296852,0.9994174242019653
trace_00005,commonsense_multihop,incorrect,axis_1,0.15549787878990173,0.15549787878990173,0.9878362417221069
trace_00005,commonsense_multihop,incorrect,axis_1,-0.184734508395195,0.184734508395195,0.9827884435653687
trace_00005,commonsense_multihop,incorrect,axis_4,0.11696784198284149,0.11696784198284149,0.9931356906890869
trace_00005,commonsense_multihop,incorrect,axis_3,0.22713568806648254,0.22713568806648254,0.9738631248474121
trace_00005,commonsense_multihop,incorrect,axis_5,-0.22553449869155884,0.22553449869155884,0.9742351770401001
trace_00005,commonsense_multihop,incorrect,axis_4,0.0738287940621376,0.0738287940621376,0.997270941734314
trace_00006,arithmetic,correct,axis_2,-0.08880098909139633,0.08880098909139633,0.9960494041442871
trace_00006,arithmetic,correct,axis_1,-0.3578997254371643,0.3578997254371643,0.9337600469589233
trace_00007,symbolic_logic,correct,axis_5,-0.13730986416339874,0.13730986416339874,0.9905281066894531
trace_00007,symbolic_logic,correct,axis_1,-0.08837008476257324,0.08837008476257324,0.9960877299308777
trace_00008,temporal_ordering,correct,axis_1,0.1565610021352768,0.1565610021352768,0.9876682758331299
trace_00008,temporal_ordering,correct,axis_1,-0.16185691952705383,0.16185691952705383,0.9868142604827881
trace_00009,causal_micro_world,correct,axis_5,0.09401492774486542,0.09401492774486542,0.9955707788467407
trace_00009,causal_micro_world,correct,axis_4,-0.10281240940093994,0.10281240940093994,0.9947007298469543
trace_00009,causal_micro_world,correct,axis_4,0.10182933509349823,0.10182933509349823,0.9948018789291382
trace_00010,commonsense_multihop,correct,axis_5,-0.34913426637649536,0.34913426637649536,0.9370726943016052
trace_00010,commonsense_multihop,correct,axis_5,0.23560529947280884,0.23560529947280884,0.9718488454818726
trace_00010,commonsense_multihop,correct,axis_5,-0.14163050055503845,0.14163050055503845,0.9899196028709412
trace_00011,arithmetic,correct,axis_5,-0.12998196482658386,0.12998196482658386,0.9915163516998291
trace_00011,arithmetic,correct,axis_5,0.0975448489189148,0.0975448489189148,0.9952311515808105
