task_family,outcome,residual_cluster,count,proportion,top_terms
arithmetic,correct,0,18,0.20930232558139536,"the, of, total, number, from, is"
arithmetic,correct,1,12,0.13953488372093023,"the, equation, to, both, of, speed"
arithmetic,correct,2,22,0.2558139534883721,"the, speed, total, average, number, time"
arithmetic,correct,3,16,0.18604651162790697,"the, calculate, hours, total, time, km"
arithmetic,correct,4,18,0.20930232558139536,"the, total, hours, speed, time, calculate"
arithmetic,incorrect,0,0,0.0,
arithmetic,incorrect,1,0,0.0,
arithmetic,incorrect,2,1,0.25,"average, speed, the, total, calculate, distance"
arithmetic,incorrect,3,1,0.25,"km, calculate, hours, the, total, distance"
arithmetic,incorrect,4,2,0.5,"the, average, speed, hours, total, calculate"
causal_micro_world,correct,0,12,0.3157894736842105,"the, in, is, to, on, as"
causal_micro_world,correct,1,11,0.2894736842105263,"the, to, is, in, increases, not"
causal_micro_world,correct,2,4,0.10526315789473684,"to, in, the, due, fish, level"
causal_micro_world,correct,3,7,0.18421052631578946,"in, the, increased, to, of, result"
causal_micro_world,correct,4,4,0.10526315789473684,"the, to, an, increased, as, distance"
causal_micro_world,incorrect,0,3,0.1875,"the, fuel, engine, in, pressure, water"
causal_micro_world,incorrect,1,4,0.25,"the, to, coverage, falls, freezer, reduced"
causal_micro_world,incorrect,2,2,0.125,"the, wilting, as, blue, change, coverage"
causal_micro_world,incorrect,3,7,0.4375,"the, fuel, to, engine, product, of"
causal_micro_world,incorrect,4,0,0.0,
commonsense_multihop,correct,0,12,0.26666666666666666,"the, to, of, air, and, heat"
commonsense_multihop,correct,1,7,0.15555555555555556,"the, to, and, oxygen, their, as"
commonsense_multihop,correct,2,9,0.2,"the, to, due, in, of, and"
commonsense_multihop,correct,3,16,0.35555555555555557,"the, to, air, of, as, heat"
commonsense_multihop,correct,4,1,0.022222222222222223,"the, and, become, dense, air, as"
commonsense_multihop,incorrect,0,16,0.34782608695652173,"the, to, as, heat, is, its"
commonsense_multihop,incorrect,1,9,0.1956521739130435,"the, air, to, and, is, of"
commonsense_multihop,incorrect,2,7,0.15217391304347827,"the, to, heat, is, and, from"
commonsense_multihop,incorrect,3,12,0.2608695652173913,"the, to, air, in, of, soup"
commonsense_multihop,incorrect,4,2,0.043478260869565216,"the, air, and, to, as, cooler"
symbolic_logic,correct,0,9,0.25,"are, is, that, all, jops, fads"
symbolic_logic,correct,1,8,0.2222222222222222,"is, are, the, of, subset, that"
symbolic_logic,correct,2,6,0.16666666666666666,"that, no, are, is, the, and"
symbolic_logic,correct,3,11,0.3055555555555556,"is, the, are, if, that, no"
symbolic_logic,correct,4,2,0.05555555555555555,"are, quars, all, brims, from, nels"
symbolic_logic,incorrect,0,8,0.2962962962962963,"that, are, we, some, is, not"
symbolic_logic,incorrect,1,6,0.2222222222222222,"is, some, are, that, be, razs"
symbolic_logic,incorrect,2,6,0.2222222222222222,"are, rule, if, that, be, pels"
symbolic_logic,incorrect,3,7,0.25925925925925924,"are, that, darps, mels, vents, conclude"
symbolic_logic,incorrect,4,0,0.0,
temporal_ordering,correct,0,4,0.3076923076923077,"arrived, joon, event, sora, the, after"
temporal_ordering,correct,1,2,0.15384615384615385,"task, before, the, and, arrived, finished"
temporal_ordering,correct,2,4,0.3076923076923077,"chapter, task, before, after, read, and"
temporal_ordering,correct,3,2,0.15384615384615385,"before, chapter, and, arrived, the, after"
temporal_ordering,correct,4,1,0.07692307692307693,"the, events, of, based, determine, given"
temporal_ordering,incorrect,0,11,0.24444444444444444,"the, event, determine, is, main, that"
temporal_ordering,incorrect,1,13,0.28888888888888886,"event, the, must, after, before, finished"
temporal_ordering,incorrect,2,9,0.2,"the, check, eating, event, is, lunch"
temporal_ordering,incorrect,3,11,0.24444444444444444,"event, the, and, determine, of, sequence"
temporal_ordering,incorrect,4,1,0.022222222222222223,"check-in, security"
