trace_id,task_family,outcome,neighbor_trace_id,neighbor_family,neighbor_outcome,same_family_nn,same_outcome_nn,nn_js_divergence,nn_tv_distance
trace_00001,arithmetic,correct,trace_00097,symbolic_logic,incorrect,False,False,0.0,0.0
trace_00002,symbolic_logic,incorrect,trace_00085,commonsense_multihop,incorrect,False,True,0.003455029339326253,0.06666666666666668
trace_00003,temporal_ordering,correct,trace_00073,temporal_ordering,incorrect,True,False,0.0072991567604739245,0.10000000000000002
trace_00004,causal_micro_world,correct,trace_00023,temporal_ordering,correct,False,True,0.0,0.0
trace_00005,commonsense_multihop,incorrect,trace_00046,arithmetic,correct,False,False,0.04042296604420408,0.225
trace_00006,arithmetic,correct,trace_00029,causal_micro_world,correct,False,True,0.0,0.0
trace_00007,symbolic_logic,correct,trace_00004,causal_micro_world,correct,False,True,0.0,0.0
trace_00008,temporal_ordering,correct,trace_00009,causal_micro_world,correct,False,True,0.1908745046211096,0.33333333333333337
trace_00009,causal_micro_world,correct,trace_00014,causal_micro_world,correct,True,True,0.0,0.0
trace_00010,commonsense_multihop,correct,trace_00007,symbolic_logic,correct,False,True,0.020720839623908215,0.16666666666666666
trace_00011,arithmetic,correct,trace_00045,commonsense_multihop,incorrect,False,False,0.04902249956730623,0.2
trace_00012,symbolic_logic,incorrect,trace_00068,temporal_ordering,incorrect,False,True,0.0,0.0
trace_00013,temporal_ordering,incorrect,trace_00054,causal_micro_world,incorrect,False,True,0.0,0.0
trace_00014,causal_micro_world,correct,trace_00009,causal_micro_world,correct,True,True,0.0,0.0
trace_00015,commonsense_multihop,correct,trace_00065,commonsense_multihop,incorrect,True,False,0.0,0.0
trace_00016,arithmetic,correct,trace_00067,symbolic_logic,incorrect,False,False,0.0,0.0
trace_00017,symbolic_logic,correct,trace_00085,commonsense_multihop,incorrect,False,False,0.0,0.0
trace_00018,temporal_ordering,incorrect,trace_00022,symbolic_logic,correct,False,False,0.0,0.0
trace_00019,causal_micro_world,correct,trace_00050,commonsense_multihop,correct,False,True,0.0,0.0
trace_00020,commonsense_multihop,incorrect,trace_00048,temporal_ordering,incorrect,False,True,0.020720839623908215,0.16666666666666666
trace_00021,arithmetic,correct,trace_00022,symbolic_logic,correct,False,True,0.020720839623908215,0.16666666666666666
trace_00022,symbolic_logic,correct,trace_00018,temporal_ordering,incorrect,False,False,0.0,0.0
trace_00023,temporal_ordering,correct,trace_00007,symbolic_logic,correct,False,True,0.0,0.0
trace_00024,causal_micro_world,correct,trace_00093,temporal_ordering,incorrect,False,False,0.0,0.0
trace_00025,commonsense_multihop,correct,trace_00027,symbolic_logic,correct,False,True,0.0,0.0
trace_00026,arithmetic,correct,trace_00031,arithmetic,correct,True,True,0.016528777470241153,0.13333333333333336
trace_00027,symbolic_logic,correct,trace_00032,symbolic_logic,correct,True,True,0.0,0.0
trace_00028,temporal_ordering,incorrect,trace_00072,symbolic_logic,incorrect,False,True,0.1908745046211096,0.33333333333333337
trace_00029,causal_micro_world,correct,trace_00097,symbolic_logic,incorrect,False,False,0.0,0.0
trace_00030,commonsense_multihop,incorrect,trace_00052,symbolic_logic,correct,False,False,0.0,0.0
trace_00031,arithmetic,correct,trace_00026,arithmetic,correct,True,True,0.016528777470241153,0.13333333333333336
trace_00032,symbolic_logic,correct,trace_00080,commonsense_multihop,correct,False,True,0.0,0.0
trace_00033,temporal_ordering,correct,trace_00049,causal_micro_world,incorrect,False,False,0.08170416594551039,0.3333333333333333
trace_00034,causal_micro_world,incorrect,trace_00077,symbolic_logic,correct,False,False,0.0,0.0
trace_00035,commonsense_multihop,incorrect,trace_00032,symbolic_logic,correct,False,False,0.07310400793180986,0.30000000000000004
trace_00036,arithmetic,correct,trace_00092,symbolic_logic,correct,False,True,0.007299156760473921,0.10000000000000002
trace_00037,symbolic_logic,correct,trace_00088,temporal_ordering,incorrect,False,False,0.0,0.0
trace_00038,temporal_ordering,incorrect,trace_00034,causal_micro_world,incorrect,False,True,0.0,0.0
trace_00039,causal_micro_world,incorrect,trace_00004,causal_micro_world,correct,True,False,0.0,0.0
trace_00040,commonsense_multihop,incorrect,trace_00087,symbolic_logic,correct,False,False,0.020720839623908215,0.16666666666666666
trace_00041,arithmetic,correct,trace_00089,causal_micro_world,correct,False,True,0.03935733083375617,0.21428571428571427
trace_00042,symbolic_logic,incorrect,trace_00093,temporal_ordering,incorrect,False,True,0.020720839623908215,0.16666666666666666
trace_00043,temporal_ordering,incorrect,trace_00094,causal_micro_world,correct,False,False,0.0,0.0
trace_00044,causal_micro_world,correct,trace_00077,symbolic_logic,correct,False,True,0.0,0.0
trace_00045,commonsense_multihop,incorrect,trace_00011,arithmetic,correct,False,False,0.04902249956730623,0.2
trace_00046,arithmetic,correct,trace_00005,commonsense_multihop,incorrect,False,False,0.04042296604420408,0.225
trace_00047,symbolic_logic,incorrect,trace_00057,symbolic_logic,correct,True,False,0.0,0.0
trace_00048,temporal_ordering,incorrect,trace_00052,symbolic_logic,correct,False,False,0.0,0.0
trace_00049,causal_micro_world,incorrect,trace_00033,temporal_ordering,correct,False,False,0.08170416594551039,0.3333333333333333
trace_00050,commonsense_multihop,correct,trace_00083,temporal_ordering,incorrect,False,False,0.0,0.0
trace_00051,arithmetic,incorrect,trace_00086,arithmetic,correct,True,False,0.020720839623908215,0.16666666666666666
trace_00052,symbolic_logic,correct,trace_00030,commonsense_multihop,incorrect,False,False,0.0,0.0
trace_00053,temporal_ordering,incorrect,trace_00097,symbolic_logic,incorrect,False,True,0.0,0.0
trace_00054,causal_micro_world,incorrect,trace_00024,causal_micro_world,correct,True,False,0.0,0.0
trace_00055,commonsense_multihop,correct,trace_00064,causal_micro_world,incorrect,False,False,0.07539593734971191,0.14285714285714285
trace_00056,arithmetic,correct,trace_00059,causal_micro_world,correct,False,True,0.0,0.0
trace_00057,symbolic_logic,correct,trace_00047,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00058,temporal_ordering,incorrect,trace_00043,temporal_ordering,incorrect,True,True,0.0,0.0
trace_00059,causal_micro_world,correct,trace_00056,arithmetic,correct,False,True,0.0,0.0
trace_00060,commonsense_multihop,incorrect,trace_00063,temporal_ordering,incorrect,False,True,0.020720839623908215,0.16666666666666666
trace_00061,arithmetic,correct,trace_00096,arithmetic,correct,True,True,0.020720839623908215,0.16666666666666666
trace_00062,symbolic_logic,correct,trace_00045,commonsense_multihop,incorrect,False,False,0.12451124978365312,0.2
trace_00063,temporal_ordering,incorrect,trace_00037,symbolic_logic,correct,False,False,0.0,0.0
trace_00064,causal_micro_world,incorrect,trace_00084,causal_micro_world,correct,True,False,0.020720839623908215,0.16666666666666666
trace_00065,commonsense_multihop,incorrect,trace_00015,commonsense_multihop,correct,True,False,0.0,0.0
trace_00066,arithmetic,correct,trace_00086,arithmetic,correct,True,True,0.0,0.0
trace_00067,symbolic_logic,incorrect,trace_00016,arithmetic,correct,False,False,0.0,0.0
trace_00068,temporal_ordering,incorrect,trace_00050,commonsense_multihop,correct,False,False,0.0,0.0
trace_00069,causal_micro_world,correct,trace_00079,causal_micro_world,incorrect,True,False,0.0,0.0
