left_trace_id,right_trace_id,left_prompt_id,right_prompt_id,left_family,right_family,left_outcome,right_outcome,same_family,same_outcome,js_divergence,tv_distance
trace_00001,trace_00002,arith_001,logic_001,arithmetic,symbolic_logic,correct,incorrect,False,False,0.007299156760473963,0.09999999999999998
trace_00001,trace_00003,arith_001,temporal_001,arithmetic,temporal_ordering,correct,correct,False,True,0.2295739585136224,0.3333333333333333
trace_00001,trace_00004,arith_001,causal_001,arithmetic,causal_micro_world,correct,correct,False,True,0.5,0.5
trace_00001,trace_00005,arith_001,commonsense_001,arithmetic,commonsense_multihop,correct,incorrect,False,False,0.22460175271458133,0.375
trace_00001,trace_00006,arith_001,arith_002,arithmetic,arithmetic,correct,correct,True,True,0.0,0.0
trace_00001,trace_00007,arith_001,logic_002,arithmetic,symbolic_logic,correct,correct,False,True,0.5,0.5
trace_00001,trace_00008,arith_001,temporal_002,arithmetic,temporal_ordering,correct,correct,False,True,0.5,0.5
trace_00001,trace_00009,arith_001,causal_002,arithmetic,causal_micro_world,correct,correct,False,True,0.1908745046211096,0.33333333333333337
trace_00001,trace_00010,arith_001,commonsense_002,arithmetic,commonsense_multihop,correct,correct,False,True,0.5954372523105548,0.6666666666666667
trace_00001,trace_00011,arith_001,arith_003,arithmetic,arithmetic,correct,correct,True,True,0.2519235740744792,0.4
trace_00001,trace_00012,arith_001,logic_003,arithmetic,symbolic_logic,correct,incorrect,False,False,0.5954372523105549,0.6666666666666666
trace_00001,trace_00013,arith_001,temporal_003,arithmetic,temporal_ordering,correct,incorrect,False,False,0.1908745046211096,0.33333333333333337
trace_00001,trace_00014,arith_001,causal_003,arithmetic,causal_micro_world,correct,correct,False,True,0.1908745046211096,0.33333333333333337
trace_00001,trace_00015,arith_001,commonsense_003,arithmetic,commonsense_multihop,correct,correct,False,True,0.3112781244591328,0.5
trace_00001,trace_00016,arith_001,arith_004,arithmetic,arithmetic,correct,correct,True,True,0.42528358731335336,0.5
trace_00001,trace_00017,arith_001,logic_004,arithmetic,symbolic_logic,correct,correct,False,True,0.020720839623908215,0.16666666666666666
trace_00001,trace_00018,arith_001,temporal_004,arithmetic,temporal_ordering,correct,incorrect,False,False,0.5,0.5
trace_00001,trace_00019,arith_001,causal_004,arithmetic,causal_micro_world,correct,correct,False,True,0.5954372523105549,0.6666666666666666
trace_00001,trace_00020,arith_001,commonsense_004,arithmetic,commonsense_multihop,correct,incorrect,False,False,0.5,0.5
trace_00001,trace_00021,arith_001,arith_005,arithmetic,arithmetic,correct,correct,True,True,0.5954372523105548,0.6666666666666667
trace_00001,trace_00022,arith_001,logic_005,arithmetic,symbolic_logic,correct,correct,False,True,0.5,0.5
trace_00001,trace_00023,arith_001,temporal_005,arithmetic,temporal_ordering,correct,correct,False,True,0.5,0.5
trace_00001,trace_00024,arith_001,causal_005,arithmetic,causal_micro_world,correct,correct,False,True,0.1908745046211096,0.33333333333333337
trace_00001,trace_00025,arith_001,commonsense_005,arithmetic,commonsense_multihop,correct,correct,False,True,0.5,0.5
trace_00001,trace_00026,arith_001,arith_006,arithmetic,arithmetic,correct,correct,True,True,0.2519235740744792,0.4
trace_00001,trace_00027,arith_001,logic_006,arithmetic,symbolic_logic,correct,correct,False,True,0.5,0.5
trace_00001,trace_00028,arith_001,temporal_006,arithmetic,temporal_ordering,correct,incorrect,False,False,1.0,1.0
trace_00001,trace_00029,arith_001,causal_006,arithmetic,causal_micro_world,correct,correct,False,True,0.0,0.0
trace_00001,trace_00030,arith_001,commonsense_006,arithmetic,commonsense_multihop,correct,incorrect,False,False,0.5954372523105549,0.6666666666666666
trace_00001,trace_00031,arith_001,arith_007,arithmetic,arithmetic,correct,correct,True,True,0.1908745046211096,0.3333333333333333
trace_00001,trace_00032,arith_001,logic_007,arithmetic,symbolic_logic,correct,correct,False,True,0.5,0.5
trace_00001,trace_00033,arith_001,temporal_007,arithmetic,temporal_ordering,correct,correct,False,True,1.0,0.9999999999999999
trace_00001,trace_00034,arith_001,causal_007,arithmetic,causal_micro_world,correct,incorrect,False,False,0.1908745046211096,0.33333333333333337
trace_00001,trace_00035,arith_001,commonsense_007,arithmetic,commonsense_multihop,correct,incorrect,False,False,0.37519620693013067,0.5
trace_00001,trace_00036,arith_001,arith_008,arithmetic,arithmetic,correct,correct,True,True,0.3958156020033583,0.6000000000000001
trace_00001,trace_00037,arith_001,logic_008,arithmetic,symbolic_logic,correct,correct,False,True,0.5,0.5
trace_00001,trace_00038,arith_001,temporal_008,arithmetic,temporal_ordering,correct,incorrect,False,False,0.1908745046211096,0.33333333333333337
trace_00001,trace_00039,arith_001,causal_008,arithmetic,causal_micro_world,correct,incorrect,False,False,0.5,0.5
trace_00001,trace_00040,arith_001,commonsense_008,arithmetic,commonsense_multihop,correct,incorrect,False,False,0.6556390622295665,0.75
trace_00001,trace_00041,arith_001,arith_009,arithmetic,arithmetic,correct,correct,True,True,0.5087256743873156,0.7142857142857142
trace_00001,trace_00042,arith_001,logic_009,arithmetic,symbolic_logic,correct,incorrect,False,False,0.3112781244591328,0.5
trace_00001,trace_00043,arith_001,temporal_009,arithmetic,temporal_ordering,correct,incorrect,False,False,0.1908745046211096,0.33333333333333337
trace_00001,trace_00044,arith_001,causal_009,arithmetic,causal_micro_world,correct,correct,False,True,0.1908745046211096,0.33333333333333337
trace_00001,trace_00045,arith_001,commonsense_009,arithmetic,commonsense_multihop,correct,incorrect,False,False,0.2519235740744792,0.4
trace_00001,trace_00046,arith_001,arith_010,arithmetic,arithmetic,correct,correct,True,True,0.3958156020033583,0.6
trace_00001,trace_00047,arith_001,logic_010,arithmetic,symbolic_logic,correct,incorrect,False,False,1.0,1.0
trace_00001,trace_00048,arith_001,temporal_010,arithmetic,temporal_ordering,correct,incorrect,False,False,0.5954372523105549,0.6666666666666666
trace_00001,trace_00049,arith_001,causal_010,arithmetic,causal_micro_world,correct,incorrect,False,False,1.0,1.0
trace_00001,trace_00050,arith_001,commonsense_010,arithmetic,commonsense_multihop,correct,correct,False,True,0.5954372523105549,0.6666666666666666
trace_00001,trace_00051,arith_001,arith_011,arithmetic,arithmetic,correct,incorrect,True,False,1.0,1.0
trace_00001,trace_00052,arith_001,logic_011,arithmetic,symbolic_logic,correct,correct,False,True,0.5954372523105549,0.6666666666666666
trace_00001,trace_00053,arith_001,temporal_011,arithmetic,temporal_ordering,correct,incorrect,False,False,0.0,0.0
trace_00001,trace_00054,arith_001,causal_011,arithmetic,causal_micro_world,correct,incorrect,False,False,0.1908745046211096,0.33333333333333337
trace_00001,trace_00055,arith_001,commonsense_011,arithmetic,commonsense_multihop,correct,correct,False,True,0.6284905946211771,0.7142857142857142
trace_00001,trace_00056,arith_001,arith_012,arithmetic,arithmetic,correct,correct,True,True,1.0,1.0
trace_00001,trace_00057,arith_001,logic_012,arithmetic,symbolic_logic,correct,correct,False,True,1.0,1.0
