trace_id,prompt_id,task_family,outcome,n_deltas,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
trace_00001,arith_001,arithmetic,correct,2,0.5,0.5,0.0,0.0,0.0
trace_00002,logic_001,symbolic_logic,incorrect,5,0.6,0.4,0.0,0.0,0.0
trace_00003,temporal_001,temporal_ordering,correct,6,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0
trace_00004,causal_001,causal_micro_world,correct,2,0.0,0.5,0.5,0.0,0.0
trace_00005,commonsense_001,commonsense_multihop,incorrect,8,0.375,0.25,0.125,0.125,0.125
trace_00006,arith_002,arithmetic,correct,2,0.5,0.5,0.0,0.0,0.0
trace_00007,logic_002,symbolic_logic,correct,2,0.0,0.5,0.5,0.0,0.0
trace_00008,temporal_002,temporal_ordering,correct,2,0.5,0.0,0.0,0.0,0.5
trace_00009,causal_002,causal_micro_world,correct,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
trace_00010,commonsense_002,commonsense_multihop,correct,3,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
trace_00011,arith_003,arithmetic,correct,5,0.4,0.2,0.0,0.2,0.2
trace_00012,logic_003,symbolic_logic,incorrect,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
trace_00013,temporal_003,temporal_ordering,incorrect,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
trace_00014,causal_003,causal_micro_world,correct,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
trace_00015,commonsense_003,commonsense_multihop,correct,4,0.25,0.25,0.25,0.25,0.0
trace_00016,arith_004,arithmetic,correct,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
trace_00017,logic_004,symbolic_logic,correct,3,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0
trace_00018,temporal_004,temporal_ordering,incorrect,2,0.5,0.0,0.5,0.0,0.0
trace_00019,causal_004,causal_micro_world,correct,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
trace_00020,commonsense_004,commonsense_multihop,incorrect,4,0.5,0.0,0.25,0.25,0.0
trace_00021,arith_005,arithmetic,correct,3,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
trace_00022,logic_005,symbolic_logic,correct,2,0.5,0.0,0.5,0.0,0.0
trace_00023,temporal_005,temporal_ordering,correct,2,0.0,0.5,0.5,0.0,0.0
trace_00024,causal_005,causal_micro_world,correct,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
trace_00025,commonsense_005,commonsense_multihop,correct,6,0.5,0.0,0.0,0.5,0.0
trace_00026,arith_006,arithmetic,correct,5,0.4,0.2,0.2,0.0,0.2
trace_00027,logic_006,symbolic_logic,correct,2,0.5,0.0,0.0,0.5,0.0
trace_00028,temporal_006,temporal_ordering,incorrect,1,0.0,0.0,0.0,1.0,0.0
trace_00029,causal_006,causal_micro_world,correct,4,0.5,0.5,0.0,0.0,0.0
trace_00030,commonsense_006,commonsense_multihop,incorrect,6,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
trace_00031,arith_007,arithmetic,correct,6,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.0,0.16666666666666666
trace_00032,logic_007,symbolic_logic,correct,4,0.5,0.0,0.0,0.5,0.0
trace_00033,temporal_007,temporal_ordering,correct,3,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
trace_00034,causal_007,causal_micro_world,incorrect,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
trace_00035,commonsense_007,commonsense_multihop,incorrect,5,0.8,0.0,0.0,0.2,0.0
trace_00036,arith_008,arithmetic,correct,5,0.2,0.2,0.2,0.4,0.0
trace_00037,logic_008,symbolic_logic,correct,2,0.0,0.5,0.0,0.5,0.0
trace_00038,temporal_008,temporal_ordering,incorrect,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
trace_00039,causal_008,causal_micro_world,incorrect,2,0.0,0.5,0.5,0.0,0.0
trace_00040,commonsense_008,commonsense_multihop,incorrect,4,0.0,0.25,0.25,0.5,0.0
trace_00041,arith_009,arithmetic,correct,7,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.0,0.2857142857142857
trace_00042,logic_009,symbolic_logic,incorrect,4,0.25,0.25,0.0,0.5,0.0
trace_00043,temporal_009,temporal_ordering,incorrect,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
trace_00044,causal_009,causal_micro_world,correct,3,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0
trace_00045,commonsense_009,commonsense_multihop,incorrect,5,0.2,0.4,0.0,0.2,0.2
trace_00046,arith_010,arithmetic,correct,5,0.2,0.2,0.2,0.2,0.2
trace_00047,logic_010,symbolic_logic,incorrect,2,0.0,0.0,1.0,0.0,0.0
trace_00048,temporal_010,temporal_ordering,incorrect,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
trace_00049,causal_010,causal_micro_world,incorrect,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
trace_00050,commonsense_010,commonsense_multihop,correct,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
trace_00051,arith_011,arithmetic,incorrect,4,0.0,0.0,0.25,0.25,0.5
trace_00052,logic_011,symbolic_logic,correct,3,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0
trace_00053,temporal_011,temporal_ordering,incorrect,2,0.5,0.5,0.0,0.0,0.0
