task_family,outcome,residual_cluster,count,group_total,proportion
arithmetic,correct,2,22,86,0.2558139534883721
arithmetic,correct,0,18,86,0.20930232558139536
arithmetic,correct,4,18,86,0.20930232558139536
arithmetic,correct,3,16,86,0.18604651162790697
arithmetic,correct,1,12,86,0.13953488372093023
arithmetic,incorrect,4,2,4,0.5
arithmetic,incorrect,2,1,4,0.25
arithmetic,incorrect,3,1,4,0.25
causal_micro_world,correct,0,12,38,0.3157894736842105
causal_micro_world,correct,1,11,38,0.2894736842105263
causal_micro_world,correct,3,7,38,0.18421052631578946
causal_micro_world,correct,2,4,38,0.10526315789473684
causal_micro_world,correct,4,4,38,0.10526315789473684
causal_micro_world,incorrect,3,7,16,0.4375
causal_micro_world,incorrect,1,4,16,0.25
causal_micro_world,incorrect,0,3,16,0.1875
causal_micro_world,incorrect,2,2,16,0.125
commonsense_multihop,correct,3,16,45,0.35555555555555557
commonsense_multihop,correct,0,12,45,0.26666666666666666
commonsense_multihop,correct,2,9,45,0.2
commonsense_multihop,correct,1,7,45,0.15555555555555556
commonsense_multihop,correct,4,1,45,0.022222222222222223
commonsense_multihop,incorrect,0,16,46,0.34782608695652173
commonsense_multihop,incorrect,3,12,46,0.2608695652173913
commonsense_multihop,incorrect,1,9,46,0.1956521739130435
commonsense_multihop,incorrect,2,7,46,0.15217391304347827
commonsense_multihop,incorrect,4,2,46,0.043478260869565216
symbolic_logic,correct,3,11,36,0.3055555555555556
symbolic_logic,correct,0,9,36,0.25
symbolic_logic,correct,1,8,36,0.2222222222222222
symbolic_logic,correct,2,6,36,0.16666666666666666
symbolic_logic,correct,4,2,36,0.05555555555555555
symbolic_logic,incorrect,0,8,27,0.2962962962962963
symbolic_logic,incorrect,3,7,27,0.25925925925925924
symbolic_logic,incorrect,1,6,27,0.2222222222222222
symbolic_logic,incorrect,2,6,27,0.2222222222222222
temporal_ordering,correct,0,4,13,0.3076923076923077
temporal_ordering,correct,2,4,13,0.3076923076923077
temporal_ordering,correct,1,2,13,0.15384615384615385
temporal_ordering,correct,3,2,13,0.15384615384615385
temporal_ordering,correct,4,1,13,0.07692307692307693
temporal_ordering,incorrect,1,13,45,0.28888888888888886
temporal_ordering,incorrect,0,11,45,0.24444444444444444
temporal_ordering,incorrect,3,11,45,0.24444444444444444
temporal_ordering,incorrect,2,9,45,0.2
temporal_ordering,incorrect,4,1,45,0.022222222222222223
