task_family,residual_cluster,correct_proportion,incorrect_proportion,incorrect_minus_correct
arithmetic,4,0.20930232558139536,0.5,0.2906976744186046
arithmetic,3,0.18604651162790697,0.25,0.06395348837209303
arithmetic,2,0.2558139534883721,0.25,-0.005813953488372103
arithmetic,1,0.13953488372093023,0.0,-0.13953488372093023
arithmetic,0,0.20930232558139536,0.0,-0.20930232558139536
causal_micro_world,3,0.18421052631578946,0.4375,0.2532894736842105
causal_micro_world,2,0.10526315789473684,0.125,0.019736842105263164
causal_micro_world,1,0.2894736842105263,0.25,-0.03947368421052633
causal_micro_world,4,0.10526315789473684,0.0,-0.10526315789473684
causal_micro_world,0,0.3157894736842105,0.1875,-0.1282894736842105
commonsense_multihop,0,0.26666666666666666,0.34782608695652173,0.08115942028985507
commonsense_multihop,1,0.15555555555555556,0.1956521739130435,0.04009661835748793
commonsense_multihop,4,0.022222222222222223,0.043478260869565216,0.021256038647342993
commonsense_multihop,2,0.2,0.15217391304347827,-0.04782608695652174
commonsense_multihop,3,0.35555555555555557,0.2608695652173913,-0.09468599033816427
symbolic_logic,2,0.16666666666666666,0.2222222222222222,0.05555555555555555
symbolic_logic,0,0.25,0.2962962962962963,0.04629629629629628
symbolic_logic,1,0.2222222222222222,0.2222222222222222,0.0
symbolic_logic,3,0.3055555555555556,0.25925925925925924,-0.046296296296296335
symbolic_logic,4,0.05555555555555555,0.0,-0.05555555555555555
temporal_ordering,1,0.15384615384615385,0.28888888888888886,0.135042735042735
temporal_ordering,3,0.15384615384615385,0.24444444444444444,0.09059829059829058
temporal_ordering,4,0.07692307692307693,0.022222222222222223,-0.0547008547008547
temporal_ordering,0,0.3076923076923077,0.24444444444444444,-0.06324786324786327
temporal_ordering,2,0.3076923076923077,0.2,-0.1076923076923077
