task_family,outcome,residual_cluster,top_terms,label
arithmetic,correct,0,"the, of, total, number, from, is",Arithmetic Progression and Addition/Subtraction Regime (APAR)
arithmetic,correct,1,"the, equation, to, both, of, speed","""Equation Manipulation"""
arithmetic,correct,2,"the, speed, total, average, number, time",Arithmetic Resolution
arithmetic,correct,3,"the, calculate, hours, total, time, km",Isolate and Solve
arithmetic,correct,4,"the, total, hours, speed, time, calculate","""Arithmetic Simplification and Calculation"""
arithmetic,incorrect,2,"average, speed, the, total, calculate, distance","""Arithmetic Calculation Error"""
arithmetic,incorrect,3,"km, calculate, hours, the, total, distance","""Distance to Time"""
arithmetic,incorrect,4,"the, average, speed, hours, total, calculate","""Division and Formula Errors"""
causal_micro_world,correct,0,"the, in, is, to, on, as",Causal Chain
causal_micro_world,correct,1,"the, to, is, in, increases, not","""Conditional Incongruence"""
causal_micro_world,correct,2,"to, in, the, due, fish, level",Causal Chain Effect
causal_micro_world,correct,3,"in, the, increased, to, of, result",Causal Chain Regime
causal_micro_world,correct,4,"the, to, an, increased, as, distance",Causal Chain Logic
causal_micro_world,incorrect,0,"the, fuel, engine, in, pressure, water","""Pressure Drop"""
causal_micro_world,incorrect,1,"the, to, coverage, falls, freezer, reduced","""Consequences of Failure"""
causal_micro_world,incorrect,2,"the, wilting, as, blue, change, coverage","""Coverage Consequences"""
causal_micro_world,incorrect,3,"the, fuel, to, engine, product, of","""Fuel System Failure"""
commonsense_multihop,correct,0,"the, to, of, air, and, heat","""Physical Processes in Everyday Life"""
commonsense_multihop,correct,1,"the, to, and, oxygen, their, as","""Common Cause Consequences"""
commonsense_multihop,correct,2,"the, to, due, in, of, and","""Common Cause Consequence"""
commonsense_multihop,correct,3,"the, to, air, of, as, heat","""Air Temperature and Density Effects"""
commonsense_multihop,correct,4,"the, and, become, dense, air, as",Lens Expansion Density Change
commonsense_multihop,incorrect,0,"the, to, as, heat, is, its","""Common Sense Analogies"""
commonsense_multihop,incorrect,1,"the, air, to, and, is, of","""Common Sense Analogies"""
commonsense_multihop,incorrect,2,"the, to, heat, is, and, from","""Thermal Expansion"""
commonsense_multihop,incorrect,3,"the, to, air, in, of, soup","""Physical Consequences of Environmental Interactions"""
commonsense_multihop,incorrect,4,"the, air, and, to, as, cooler","""Thermal Conduction"""
symbolic_logic,correct,0,"are, is, that, all, jops, fads","""Assumption Inference"""
symbolic_logic,correct,1,"is, are, the, of, subset, that","""Necessitation and Subset Inference"""
symbolic_logic,correct,2,"that, no, are, is, the, and","""Modus Ponens with Negation"""
symbolic_logic,correct,3,"is, the, are, if, that, no",Sufficient Necessity Regime (SNR)
symbolic_logic,correct,4,"are, quars, all, brims, from, nels",Quar-Brim Subset Relationship
symbolic_logic,incorrect,0,"that, are, we, some, is, not","""Conditional Inference with Uncertainty"""
symbolic_logic,incorrect,1,"is, some, are, that, be, razs",Weak Consequence Rule
symbolic_logic,incorrect,2,"are, rule, if, that, be, pels","""Rule Consequence"""
symbolic_logic,incorrect,3,"are, that, darps, mels, vents, conclude","""Modus Tollens with Necessary Conclusions"""
temporal_ordering,correct,0,"arrived, joon, event, sora, the, after",Temporal Chain Rule
temporal_ordering,correct,1,"task, before, the, and, arrived, finished",Temporal Ordering from Task Information
temporal_ordering,correct,2,"chapter, task, before, after, read, and",Temporal Ordering Regime
temporal_ordering,correct,3,"before, chapter, and, arrived, the, after",Temporal Precedence
temporal_ordering,correct,4,"the, events, of, based, determine, given",Temporal Event Ordering
temporal_ordering,incorrect,0,"the, event, determine, is, main, that",Temporal Inference Regime
temporal_ordering,incorrect,1,"event, the, must, after, before, finished",Temporal Ordering with Precedence
temporal_ordering,incorrect,2,"the, check, eating, event, is, lunch","""Common Sense Lunch Transitions"""
temporal_ordering,incorrect,3,"event, the, and, determine, of, sequence","""Temporal Event Progression"""
temporal_ordering,incorrect,4,"check-in, security","""Check-in to Security"""
