task_family,outcome,0,1,2,3,4
arithmetic,correct,0.20930232558139536,0.13953488372093023,0.2558139534883721,0.18604651162790697,0.20930232558139536
arithmetic,incorrect,0.0,0.0,0.25,0.25,0.5
causal_micro_world,correct,0.3157894736842105,0.2894736842105263,0.10526315789473684,0.18421052631578946,0.10526315789473684
causal_micro_world,incorrect,0.1875,0.25,0.125,0.4375,0.0
commonsense_multihop,correct,0.26666666666666666,0.15555555555555556,0.2,0.35555555555555557,0.022222222222222223
commonsense_multihop,incorrect,0.34782608695652173,0.1956521739130435,0.15217391304347827,0.2608695652173913,0.043478260869565216
symbolic_logic,correct,0.25,0.2222222222222222,0.16666666666666666,0.3055555555555556,0.05555555555555555
symbolic_logic,incorrect,0.2962962962962963,0.2222222222222222,0.2222222222222222,0.25925925925925924,0.0
temporal_ordering,correct,0.3076923076923077,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693
temporal_ordering,incorrect,0.24444444444444444,0.28888888888888886,0.2,0.24444444444444444,0.022222222222222223
