task_family,outcome,n_deltas,n_active_clusters,dominant_cluster,dominant_share,normalized_entropy
arithmetic,correct,86,5,2,0.2558139534883721,0.9886251664229029
arithmetic,incorrect,4,3,4,0.5,0.9463946303571861
causal_micro_world,correct,38,5,0,0.3157894736842105,0.9372481093222943
causal_micro_world,incorrect,16,4,3,0.4375,0.9248008763572906
commonsense_multihop,correct,45,5,3,0.35555555555555557,0.8798533527298968
commonsense_multihop,incorrect,46,5,0,0.34782608695652173,0.9070749613867269
symbolic_logic,correct,36,5,3,0.3055555555555556,0.9334250703280073
symbolic_logic,incorrect,27,4,0,0.2962962962962963,0.9946468165806768
temporal_ordering,correct,13,5,0,0.3076923076923077,0.9311133210541699
temporal_ordering,incorrect,45,5,1,0.28888888888888886,0.9033761647757634
