task_family,outcome,best_abs_alignment,residual_energy
arithmetic,correct,0.1408751681447029,0.9890282253424326
arithmetic,incorrect,0.11043280176818371,0.9932898581027985
causal_micro_world,correct,0.16545802106459936,0.9847385750876533
causal_micro_world,incorrect,0.16538883107049124,0.9844905989510673
commonsense_multihop,correct,0.1543115904698005,0.9869587192168603
commonsense_multihop,incorrect,0.16302703155411613,0.9848441680272421
symbolic_logic,correct,0.13194294699600764,0.9902816244534084
symbolic_logic,incorrect,0.14323362920965468,0.9883632659912109
temporal_ordering,correct,0.16925299167633057,0.9832810014486313
temporal_ordering,incorrect,0.13544572996241705,0.9904413734163556
