task_family,outcome,residual_cluster,count
arithmetic,correct,0,4
arithmetic,correct,1,6
arithmetic,correct,2,5
arithmetic,correct,3,5
arithmetic,correct,4,4
arithmetic,incorrect,0,2
arithmetic,incorrect,1,3
arithmetic,incorrect,2,3
arithmetic,incorrect,3,3
arithmetic,incorrect,4,3
causal_micro_world,correct,0,3
causal_micro_world,correct,1,2
causal_micro_world,correct,2,3
causal_micro_world,correct,3,3
causal_micro_world,correct,4,3
causal_micro_world,incorrect,0,4
causal_micro_world,incorrect,1,3
causal_micro_world,incorrect,2,6
causal_micro_world,incorrect,3,4
causal_micro_world,incorrect,4,1
commonsense_multihop,correct,0,4
commonsense_multihop,correct,1,5
commonsense_multihop,correct,2,4
commonsense_multihop,correct,3,6
commonsense_multihop,correct,4,4
commonsense_multihop,incorrect,0,7
commonsense_multihop,incorrect,1,5
commonsense_multihop,incorrect,2,5
commonsense_multihop,incorrect,3,7
commonsense_multihop,incorrect,4,1
symbolic_logic,correct,1,3
symbolic_logic,correct,2,1
symbolic_logic,correct,3,5
symbolic_logic,correct,4,2
symbolic_logic,incorrect,1,4
symbolic_logic,incorrect,2,5
symbolic_logic,incorrect,3,2
symbolic_logic,incorrect,4,2
temporal_ordering,correct,0,1
temporal_ordering,correct,2,1
temporal_ordering,correct,3,2
temporal_ordering,incorrect,0,6
temporal_ordering,incorrect,1,4
temporal_ordering,incorrect,2,6
temporal_ordering,incorrect,3,3
temporal_ordering,incorrect,4,4
