task_family,outcome,best_abs_alignment,residual_energy
arithmetic,correct,0.13231619176539508,0.9899580085819418
arithmetic,incorrect,0.14956541901284998,0.9879646843129938
causal_micro_world,correct,0.16847479017451406,0.9840049259364605
causal_micro_world,incorrect,0.19361383132636548,0.9790082275867462
causal_micro_world,uncertain,0.18169809939960638,0.9795743127663931
commonsense_multihop,correct,0.19021665940389915,0.9788972104296965
commonsense_multihop,incorrect,0.15594231871501454,0.9857194356198581
symbolic_logic,correct,0.14552984900515656,0.9869419582958879
symbolic_logic,incorrect,0.11431736312806606,0.9925582496558919
temporal_ordering,correct,0.16027979073779924,0.9846174610512597
temporal_ordering,incorrect,0.1548829794099385,0.9866352474147623
