trace_id,prompt_id,task_family,outcome,trial_id,n_deltas,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
trace_00001,arith_001,arithmetic,correct,arith_001__trial_01,3,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666
trace_00002,arith_001,arithmetic,correct,arith_001__trial_02,2,0.0,0.0,0.5,0.0,0.5
trace_00003,arith_001,arithmetic,correct,arith_001__trial_03,2,0.5,0.0,0.0,0.0,0.5
trace_00004,arith_001,arithmetic,correct,arith_001__trial_04,2,0.5,0.0,0.0,0.0,0.5
trace_00005,arith_001,arithmetic,correct,arith_001__trial_05,2,0.5,0.0,0.0,0.0,0.5
trace_00006,arith_002,arithmetic,correct,arith_002__trial_01,2,0.5,0.0,0.0,0.0,0.5
trace_00007,arith_002,arithmetic,incorrect,arith_002__trial_02,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
trace_00008,arith_002,arithmetic,correct,arith_002__trial_03,4,0.25,0.0,0.5,0.0,0.25
trace_00009,arith_002,arithmetic,correct,arith_002__trial_04,2,0.5,0.0,0.0,0.0,0.5
trace_00010,arith_002,arithmetic,incorrect,arith_002__trial_05,1,0.0,0.0,0.0,0.0,1.0
trace_00011,arith_003,arithmetic,correct,arith_003__trial_01,2,0.5,0.0,0.0,0.0,0.5
trace_00012,arith_003,arithmetic,correct,arith_003__trial_02,2,0.5,0.0,0.0,0.0,0.5
trace_00013,arith_003,arithmetic,correct,arith_003__trial_03,4,0.5,0.25,0.0,0.0,0.25
trace_00014,arith_003,arithmetic,correct,arith_003__trial_04,2,0.5,0.0,0.0,0.0,0.5
trace_00015,arith_003,arithmetic,correct,arith_003__trial_05,7,0.5714285714285714,0.0,0.0,0.0,0.42857142857142855
trace_00016,arith_004,arithmetic,incorrect,arith_004__trial_01,5,0.0,0.6,0.2,0.0,0.2
trace_00017,arith_004,arithmetic,correct,arith_004__trial_02,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
trace_00018,arith_004,arithmetic,incorrect,arith_004__trial_03,2,0.5,0.0,0.0,0.0,0.5
trace_00019,arith_004,arithmetic,correct,arith_004__trial_04,4,0.25,0.25,0.0,0.0,0.5
