task_family,outcome,residual_cluster,count
arithmetic,correct,0,17
arithmetic,correct,1,3
arithmetic,correct,2,4
arithmetic,correct,4,20
arithmetic,incorrect,0,1
arithmetic,incorrect,1,4
arithmetic,incorrect,2,2
arithmetic,incorrect,4,4
causal_micro_world,correct,0,21
causal_micro_world,correct,1,5
causal_micro_world,correct,2,8
causal_micro_world,correct,3,4
causal_micro_world,correct,4,10
causal_micro_world,incorrect,0,9
causal_micro_world,incorrect,1,4
causal_micro_world,incorrect,2,2
causal_micro_world,incorrect,3,3
causal_micro_world,incorrect,4,2
causal_micro_world,uncertain,0,3
causal_micro_world,uncertain,1,2
causal_micro_world,uncertain,2,1
commonsense_multihop,correct,0,2
commonsense_multihop,correct,1,10
commonsense_multihop,correct,2,10
commonsense_multihop,correct,3,2
commonsense_multihop,correct,4,10
commonsense_multihop,incorrect,0,6
commonsense_multihop,incorrect,1,12
commonsense_multihop,incorrect,2,15
commonsense_multihop,incorrect,3,4
commonsense_multihop,incorrect,4,16
symbolic_logic,correct,0,2
symbolic_logic,correct,1,9
symbolic_logic,correct,2,10
symbolic_logic,correct,3,6
symbolic_logic,correct,4,2
symbolic_logic,incorrect,1,6
symbolic_logic,incorrect,2,12
symbolic_logic,incorrect,3,13
symbolic_logic,incorrect,4,3
temporal_ordering,correct,0,6
temporal_ordering,correct,1,10
temporal_ordering,correct,2,9
temporal_ordering,correct,3,1
temporal_ordering,correct,4,2
temporal_ordering,incorrect,0,2
temporal_ordering,incorrect,1,19
temporal_ordering,incorrect,2,15
temporal_ordering,incorrect,3,2
temporal_ordering,incorrect,4,6
