trace_id,prompt_id,task_family,model,difficulty,outcome,trial_id,repeat_index,from_step_position,to_step_position,from_step_text,to_step_text,static_projection_norm,residual_norm,residual_cluster,residual_pc_1,residual_pc_2,residual_pc_3,residual_pc_4,residual_pc_5,residual_pc_6,residual_pc_7,residual_pc_8
trace_00001,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_01,1,0,1,Calculate total number of cans collected.,Subtract the number of damaged cans to find the total number of usable cans.,0.20124678,0.9795406,4,-0.3285708,0.13755056,0.08279093,-0.09892482,0.027520487,0.011076631,-0.09156483,0.081733115
trace_00001,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_01,1,1,2,Subtract the number of damaged cans to find the total number of usable cans.,Total cans = 14 + 19 = 33,0.14804475,0.98898065,2,0.49790794,-0.06505657,-0.15516254,0.12360334,-0.06384948,0.03357455,-0.09086406,-0.039650507
trace_00001,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_01,1,2,3,Total cans = 14 + 19 = 33,Usable cans = 33 - 6 = 27,0.16714124,0.9859329,4,-0.2079609,0.06407748,0.043406744,-0.04066628,0.0379119,0.014334808,-0.1541937,0.054723043
trace_00002,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_02,2,0,1,Add the total number of cans collected on Monday and Tuesday.,Subtract the total number of damaged cans (6).,0.08247294,0.99659336,4,-0.53389555,0.10714481,0.10876967,0.009737886,0.17944944,0.012703487,-0.16334319,0.12887412
trace_00002,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_02,2,1,2,Subtract the total number of damaged cans (6).,Calculate the remaining usable cans: 31 - 6 = 25.,0.09596247,0.99538493,2,0.32321662,-0.04184579,-0.05077923,-0.109483264,-0.13169992,0.02532015,-0.0629423,-0.10123621
trace_00003,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_03,3,0,1,Calculate total number of cans collected: 14 (Monday) + 19 (Tuesday) = 33,Subtract the number of damaged cans: 33 - 6 = 27,0.079473436,0.9968369,4,-0.5117914,0.17202018,0.109697215,0.046916842,0.16204952,0.022625547,-0.16700844,0.13012958
trace_00003,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_03,3,1,2,Subtract the number of damaged cans: 33 - 6 = 27,The remaining number of usable cans is 27.,0.20188117,0.97941,0,0.33575693,0.045398172,-0.04072009,0.11694323,-0.07653698,-0.13592753,0.06619393,-0.20042983
trace_00004,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_04,4,0,1,Calculate the total number of cans collected: 14 (Monday) + 19 (Tuesday) = 33,Subtract the number of damaged and discarded cans from the total: 33 - 6 = 27,0.0709643,0.9974788,4,-0.49624822,0.1865286,0.17621171,-0.006424194,0.1842811,-0.024740722,-0.1706735,0.13146229
trace_00004,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_04,4,1,2,Subtract the number of damaged and discarded cans from the total: 33 - 6 = 27,Final answer: The class had 27 usable cans remaining.,0.20160782,0.9794664,0,0.2810777,0.0065767653,-0.09866343,0.1146544,-0.035694115,-0.121018335,-0.016679717,-0.1819962
trace_00005,arith_001,arithmetic,llama3.2:latest,easy,correct,arith_001__trial_05,5,0,1,Calculate total number of cans collected: 14 (Monday) + 19 (Tuesday) = 33,Subtract the number of damaged cans: 33 - 6 = 27,0.079473436,0.9968369,4,-0.5117913,0.17201984,0.10969615,0.046916936,0.16204946,0.022625558,-0.16700855,0.13012998
