trace_id,task_family,outcome,neighbor_trace_id,neighbor_family,neighbor_outcome,same_family_nn,same_outcome_nn,nn_js_divergence,nn_tv_distance
trace_00001,arithmetic,correct,trace_00069,symbolic_logic,correct,False,True,0.0,0.0
trace_00002,arithmetic,incorrect,trace_00011,arithmetic,incorrect,True,True,0.0,0.0
trace_00003,arithmetic,correct,trace_00004,arithmetic,incorrect,True,False,0.0,0.0
trace_00004,arithmetic,incorrect,trace_00003,arithmetic,correct,True,False,0.0,0.0
trace_00005,arithmetic,incorrect,trace_00017,arithmetic,correct,True,False,0.0,0.0
trace_00006,arithmetic,correct,trace_00007,arithmetic,correct,True,True,0.0,0.0
trace_00007,arithmetic,correct,trace_00008,arithmetic,correct,True,True,0.0,0.0
trace_00008,arithmetic,correct,trace_00007,arithmetic,correct,True,True,0.0,0.0
trace_00009,arithmetic,incorrect,trace_00149,causal_micro_world,correct,False,False,0.0,0.0
trace_00010,arithmetic,correct,trace_00121,causal_micro_world,incorrect,False,False,0.0,0.0
trace_00011,arithmetic,incorrect,trace_00014,arithmetic,incorrect,True,True,0.0,0.0
trace_00012,arithmetic,correct,trace_00164,commonsense_multihop,incorrect,False,False,0.007299156760473923,0.10000000000000002
trace_00013,arithmetic,incorrect,trace_00020,arithmetic,incorrect,True,True,0.0,0.0
trace_00014,arithmetic,incorrect,trace_00011,arithmetic,incorrect,True,True,0.0,0.0
trace_00015,arithmetic,correct,trace_00067,symbolic_logic,incorrect,False,False,0.0,0.0
trace_00016,arithmetic,incorrect,trace_00021,arithmetic,correct,True,False,0.0,0.0
trace_00017,arithmetic,correct,trace_00005,arithmetic,incorrect,True,False,0.0,0.0
trace_00018,arithmetic,correct,trace_00124,causal_micro_world,incorrect,False,False,0.0,0.0
trace_00019,arithmetic,incorrect,trace_00088,temporal_ordering,correct,False,False,0.0,0.0
trace_00020,arithmetic,incorrect,trace_00013,arithmetic,incorrect,True,True,0.0,0.0
trace_00021,arithmetic,correct,trace_00016,arithmetic,incorrect,True,False,0.0,0.0
trace_00022,arithmetic,incorrect,trace_00194,commonsense_multihop,correct,False,False,0.0,0.0
trace_00023,arithmetic,correct,trace_00080,symbolic_logic,incorrect,False,False,0.0,0.0
trace_00024,arithmetic,incorrect,trace_00052,symbolic_logic,correct,False,False,0.0,0.0
trace_00025,arithmetic,correct,trace_00001,arithmetic,correct,True,True,0.0,0.0
trace_00026,arithmetic,correct,trace_00029,arithmetic,correct,True,True,0.020720839623908215,0.16666666666666666
trace_00027,arithmetic,correct,trace_00030,arithmetic,correct,True,True,0.016528777470241153,0.13333333333333336
trace_00028,arithmetic,correct,trace_00193,commonsense_multihop,incorrect,False,False,0.016528777470241153,0.13333333333333336
trace_00029,arithmetic,correct,trace_00031,arithmetic,incorrect,True,False,0.0,0.0
trace_00030,arithmetic,correct,trace_00027,arithmetic,correct,True,True,0.016528777470241153,0.13333333333333336
trace_00031,arithmetic,incorrect,trace_00032,arithmetic,correct,True,False,0.0,0.0
trace_00032,arithmetic,correct,trace_00031,arithmetic,incorrect,True,False,0.0,0.0
trace_00033,arithmetic,correct,trace_00035,arithmetic,correct,True,True,0.016528777470241153,0.13333333333333336
trace_00034,arithmetic,correct,trace_00031,arithmetic,incorrect,True,False,0.0,0.0
trace_00035,arithmetic,correct,trace_00033,arithmetic,correct,True,True,0.016528777470241153,0.13333333333333336
trace_00036,arithmetic,incorrect,trace_00194,commonsense_multihop,correct,False,False,0.018621763074265444,0.15
trace_00037,arithmetic,correct,trace_00164,commonsense_multihop,incorrect,False,False,0.0,0.0
trace_00038,arithmetic,correct,trace_00040,arithmetic,incorrect,True,False,0.0,0.0
trace_00039,arithmetic,correct,trace_00057,symbolic_logic,correct,False,True,0.0,0.0
trace_00040,arithmetic,incorrect,trace_00038,arithmetic,correct,True,False,0.0,0.0
trace_00041,symbolic_logic,incorrect,trace_00060,symbolic_logic,correct,True,False,0.0,0.0
trace_00042,symbolic_logic,incorrect,trace_00105,temporal_ordering,incorrect,False,True,0.007299156760473963,0.09999999999999998
trace_00043,symbolic_logic,incorrect,trace_00044,symbolic_logic,correct,True,False,0.020720839623908215,0.16666666666666666
trace_00044,symbolic_logic,correct,trace_00045,symbolic_logic,correct,True,True,0.0,0.0
trace_00045,symbolic_logic,correct,trace_00046,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00046,symbolic_logic,incorrect,trace_00045,symbolic_logic,correct,True,False,0.0,0.0
trace_00047,symbolic_logic,correct,trace_00158,causal_micro_world,incorrect,False,False,0.0,0.0
trace_00048,symbolic_logic,incorrect,trace_00045,symbolic_logic,correct,True,False,0.020720839623908215,0.16666666666666666
trace_00049,symbolic_logic,correct,trace_00187,commonsense_multihop,correct,False,True,0.0,0.0
trace_00050,symbolic_logic,incorrect,trace_00150,causal_micro_world,correct,False,False,0.0,0.0
trace_00051,symbolic_logic,incorrect,trace_00053,symbolic_logic,incorrect,True,True,0.0,0.0
trace_00052,symbolic_logic,correct,trace_00162,commonsense_multihop,correct,False,True,0.0,0.0
trace_00053,symbolic_logic,incorrect,trace_00090,temporal_ordering,correct,False,False,0.0,0.0
trace_00054,symbolic_logic,incorrect,trace_00055,symbolic_logic,correct,True,False,0.020720839623908215,0.16666666666666666
trace_00055,symbolic_logic,correct,trace_00051,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00056,symbolic_logic,incorrect,trace_00085,temporal_ordering,incorrect,False,True,0.0,0.0
trace_00057,symbolic_logic,correct,trace_00039,arithmetic,correct,False,True,0.0,0.0
trace_00058,symbolic_logic,incorrect,trace_00059,symbolic_logic,correct,True,False,0.0,0.0
trace_00059,symbolic_logic,correct,trace_00058,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00060,symbolic_logic,correct,trace_00041,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00061,symbolic_logic,correct,trace_00062,symbolic_logic,correct,True,True,0.0,0.0
trace_00062,symbolic_logic,correct,trace_00061,symbolic_logic,correct,True,True,0.0,0.0
trace_00063,symbolic_logic,correct,trace_00164,commonsense_multihop,incorrect,False,False,0.1264907875651346,0.26666666666666666
trace_00064,symbolic_logic,correct,trace_00065,symbolic_logic,correct,True,True,0.0,0.0
trace_00065,symbolic_logic,correct,trace_00064,symbolic_logic,correct,True,True,0.0,0.0
trace_00066,symbolic_logic,correct,trace_00171,commonsense_multihop,correct,False,True,0.0,0.0
trace_00067,symbolic_logic,incorrect,trace_00188,commonsense_multihop,incorrect,False,True,0.0,0.0
trace_00068,symbolic_logic,correct,trace_00078,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00069,symbolic_logic,correct,trace_00067,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00070,symbolic_logic,incorrect,trace_00071,symbolic_logic,incorrect,True,True,0.0,0.0
trace_00071,symbolic_logic,incorrect,trace_00070,symbolic_logic,incorrect,True,True,0.0,0.0
trace_00072,symbolic_logic,incorrect,trace_00056,symbolic_logic,incorrect,True,True,0.0,0.0
trace_00073,symbolic_logic,incorrect,trace_00173,commonsense_multihop,correct,False,False,0.0,0.0
trace_00074,symbolic_logic,incorrect,trace_00075,symbolic_logic,incorrect,True,True,0.0,0.0
trace_00075,symbolic_logic,incorrect,trace_00074,symbolic_logic,incorrect,True,True,0.0,0.0
trace_00076,symbolic_logic,incorrect,trace_00077,symbolic_logic,incorrect,True,True,0.0,0.0
trace_00077,symbolic_logic,incorrect,trace_00076,symbolic_logic,incorrect,True,True,0.0,0.0
trace_00078,symbolic_logic,incorrect,trace_00154,causal_micro_world,incorrect,False,True,0.0,0.0
trace_00079,symbolic_logic,correct,trace_00096,temporal_ordering,incorrect,False,False,0.0,0.0
trace_00080,symbolic_logic,incorrect,trace_00007,arithmetic,correct,False,False,0.0,0.0
trace_00081,temporal_ordering,incorrect,trace_00106,temporal_ordering,incorrect,True,True,0.01862176307426544,0.15
trace_00082,temporal_ordering,correct,trace_00083,temporal_ordering,correct,True,True,0.0,0.0
trace_00083,temporal_ordering,correct,trace_00082,temporal_ordering,correct,True,True,0.0,0.0
trace_00084,temporal_ordering,incorrect,trace_00058,symbolic_logic,incorrect,False,True,0.0,0.0
trace_00085,temporal_ordering,incorrect,trace_00072,symbolic_logic,incorrect,False,True,0.0,0.0
trace_00086,temporal_ordering,correct,trace_00162,commonsense_multihop,correct,False,True,0.032529960463599066,0.16666666666666669
trace_00087,temporal_ordering,correct,trace_00075,symbolic_logic,incorrect,False,False,0.0,0.0
trace_00088,temporal_ordering,correct,trace_00005,arithmetic,incorrect,False,False,0.0,0.0
trace_00089,temporal_ordering,correct,trace_00151,causal_micro_world,correct,False,True,0.0,0.0
trace_00090,temporal_ordering,correct,trace_00051,symbolic_logic,incorrect,False,False,0.0,0.0
trace_00091,temporal_ordering,incorrect,trace_00157,causal_micro_world,correct,False,False,0.0,0.0
trace_00092,temporal_ordering,incorrect,trace_00189,commonsense_multihop,incorrect,False,True,0.012741798951829503,0.11428571428571427
trace_00093,temporal_ordering,incorrect,trace_00071,symbolic_logic,incorrect,False,True,0.020720839623908215,0.16666666666666666
trace_00094,temporal_ordering,incorrect,trace_00176,commonsense_multihop,incorrect,False,True,0.0,0.0
trace_00095,temporal_ordering,correct,trace_00199,commonsense_multihop,incorrect,False,False,0.1379253809700299,0.25
trace_00096,temporal_ordering,incorrect,trace_00097,temporal_ordering,incorrect,True,True,0.0,0.0
trace_00097,temporal_ordering,incorrect,trace_00096,temporal_ordering,incorrect,True,True,0.0,0.0
trace_00098,temporal_ordering,incorrect,trace_00191,commonsense_multihop,incorrect,False,True,0.1379253809700299,0.25
trace_00099,temporal_ordering,incorrect,trace_00100,temporal_ordering,incorrect,True,True,0.0,0.0
trace_00100,temporal_ordering,incorrect,trace_00099,temporal_ordering,incorrect,True,True,0.0,0.0
trace_00101,temporal_ordering,incorrect,trace_00113,temporal_ordering,incorrect,True,True,0.020720839623908215,0.16666666666666666
trace_00102,temporal_ordering,incorrect,trace_00134,causal_micro_world,incorrect,False,True,0.0,0.0
trace_00103,temporal_ordering,correct,trace_00049,symbolic_logic,correct,False,True,0.003455029339326253,0.06666666666666668
trace_00104,temporal_ordering,incorrect,trace_00158,causal_micro_world,incorrect,False,True,0.0,0.0
trace_00105,temporal_ordering,incorrect,trace_00059,symbolic_logic,correct,False,False,0.0,0.0
trace_00106,temporal_ordering,incorrect,trace_00081,temporal_ordering,incorrect,True,True,0.01862176307426544,0.15
trace_00107,temporal_ordering,incorrect,trace_00040,arithmetic,incorrect,False,True,0.006949897932761276,0.09523809523809523
trace_00108,temporal_ordering,incorrect,trace_00070,symbolic_logic,incorrect,False,True,0.0,0.0
trace_00109,temporal_ordering,incorrect,trace_00078,symbolic_logic,incorrect,False,True,0.0,0.0
trace_00110,temporal_ordering,correct,trace_00038,arithmetic,correct,False,True,0.016528777470241156,0.13333333333333336
trace_00111,temporal_ordering,correct,trace_00044,symbolic_logic,correct,False,True,0.0,0.0
trace_00112,temporal_ordering,incorrect,trace_00041,symbolic_logic,incorrect,False,True,0.1908745046211096,0.33333333333333337
trace_00113,temporal_ordering,incorrect,trace_00114,temporal_ordering,incorrect,True,True,0.0,0.0
trace_00114,temporal_ordering,incorrect,trace_00113,temporal_ordering,incorrect,True,True,0.0,0.0
trace_00115,temporal_ordering,correct,trace_00119,temporal_ordering,incorrect,True,False,0.0,0.0
trace_00116,temporal_ordering,incorrect,trace_00117,temporal_ordering,incorrect,True,True,0.0,0.0
trace_00117,temporal_ordering,incorrect,trace_00118,temporal_ordering,incorrect,True,True,0.0,0.0
trace_00118,temporal_ordering,incorrect,trace_00117,temporal_ordering,incorrect,True,True,0.0,0.0
trace_00119,temporal_ordering,incorrect,trace_00062,symbolic_logic,correct,False,False,0.0,0.0
trace_00120,temporal_ordering,incorrect,trace_00145,causal_micro_world,correct,False,False,0.0,0.0
trace_00121,causal_micro_world,incorrect,trace_00010,arithmetic,correct,False,False,0.0,0.0
trace_00122,causal_micro_world,incorrect,trace_00123,causal_micro_world,incorrect,True,True,0.0,0.0
trace_00123,causal_micro_world,incorrect,trace_00122,causal_micro_world,incorrect,True,True,0.0,0.0
trace_00124,causal_micro_world,incorrect,trace_00018,arithmetic,correct,False,False,0.0,0.0
trace_00125,causal_micro_world,correct,trace_00142,causal_micro_world,incorrect,True,False,0.006077489978553483,0.08333333333333334
trace_00126,causal_micro_world,correct,trace_00128,causal_micro_world,correct,True,True,0.0,0.0
trace_00127,causal_micro_world,incorrect,trace_00017,arithmetic,correct,False,False,0.020720839623908215,0.16666666666666666
trace_00128,causal_micro_world,correct,trace_00129,causal_micro_world,correct,True,True,0.0,0.0
trace_00129,causal_micro_world,correct,trace_00128,causal_micro_world,correct,True,True,0.0,0.0
trace_00130,causal_micro_world,correct,trace_00158,causal_micro_world,incorrect,True,False,0.0,0.0
trace_00131,causal_micro_world,correct,trace_00132,causal_micro_world,incorrect,True,False,0.0,0.0
trace_00132,causal_micro_world,incorrect,trace_00133,causal_micro_world,correct,True,False,0.0,0.0
trace_00133,causal_micro_world,correct,trace_00132,causal_micro_world,incorrect,True,False,0.0,0.0
trace_00134,causal_micro_world,incorrect,trace_00045,symbolic_logic,correct,False,False,0.0,0.0
trace_00135,causal_micro_world,correct,trace_00132,causal_micro_world,incorrect,True,False,0.0,0.0
trace_00136,causal_micro_world,incorrect,trace_00185,commonsense_multihop,correct,False,False,0.0072991567604739245,0.10000000000000002
trace_00137,causal_micro_world,correct,trace_00138,causal_micro_world,correct,True,True,0.0,0.0
trace_00138,causal_micro_world,correct,trace_00137,causal_micro_world,correct,True,True,0.0,0.0
trace_00139,causal_micro_world,correct,trace_00195,commonsense_multihop,correct,False,True,0.0,0.0
trace_00140,causal_micro_world,correct,trace_00009,arithmetic,incorrect,False,False,0.020720839623908215,0.16666666666666666
trace_00141,causal_micro_world,incorrect,trace_00142,causal_micro_world,incorrect,True,True,0.0,0.0
trace_00142,causal_micro_world,incorrect,trace_00141,causal_micro_world,incorrect,True,True,0.0,0.0
trace_00143,causal_micro_world,correct,trace_00168,commonsense_multihop,correct,False,True,0.0,0.0
trace_00144,causal_micro_world,incorrect,trace_00145,causal_micro_world,correct,True,False,0.0,0.0
trace_00145,causal_micro_world,correct,trace_00144,causal_micro_world,incorrect,True,False,0.0,0.0
trace_00146,causal_micro_world,correct,trace_00068,symbolic_logic,correct,False,True,0.0,0.0
trace_00147,causal_micro_world,correct,trace_00148,causal_micro_world,correct,True,True,0.0,0.0
trace_00148,causal_micro_world,correct,trace_00147,causal_micro_world,correct,True,True,0.0,0.0
trace_00149,causal_micro_world,correct,trace_00009,arithmetic,incorrect,False,False,0.0,0.0
trace_00150,causal_micro_world,correct,trace_00050,symbolic_logic,incorrect,False,False,0.0,0.0
trace_00151,causal_micro_world,correct,trace_00089,temporal_ordering,correct,False,True,0.0,0.0
trace_00152,causal_micro_world,incorrect,trace_00090,temporal_ordering,correct,False,False,0.0,0.0
trace_00153,causal_micro_world,incorrect,trace_00123,causal_micro_world,incorrect,True,True,0.0,0.0
trace_00154,causal_micro_world,incorrect,trace_00109,temporal_ordering,incorrect,False,True,0.0,0.0
trace_00155,causal_micro_world,correct,trace_00137,causal_micro_world,correct,True,True,0.0,0.0
trace_00156,causal_micro_world,correct,trace_00175,commonsense_multihop,incorrect,False,False,0.020720839623908215,0.16666666666666666
trace_00157,causal_micro_world,correct,trace_00091,temporal_ordering,incorrect,False,False,0.0,0.0
trace_00158,causal_micro_world,incorrect,trace_00047,symbolic_logic,correct,False,False,0.0,0.0
trace_00159,causal_micro_world,incorrect,trace_00143,causal_micro_world,correct,True,False,0.0,0.0
trace_00160,causal_micro_world,incorrect,trace_00138,causal_micro_world,correct,True,False,0.0,0.0
trace_00161,commonsense_multihop,incorrect,trace_00165,commonsense_multihop,correct,True,False,0.0,0.0
trace_00162,commonsense_multihop,correct,trace_00024,arithmetic,incorrect,False,False,0.0,0.0
trace_00163,commonsense_multihop,incorrect,trace_00197,commonsense_multihop,incorrect,True,True,0.0,0.0
trace_00164,commonsense_multihop,incorrect,trace_00037,arithmetic,correct,False,False,0.0,0.0
trace_00165,commonsense_multihop,correct,trace_00161,commonsense_multihop,incorrect,True,False,0.0,0.0
trace_00166,commonsense_multihop,correct,trace_00052,symbolic_logic,correct,False,True,0.020720839623908215,0.16666666666666666
trace_00167,commonsense_multihop,correct,trace_00131,causal_micro_world,correct,False,True,0.020720839623908215,0.16666666666666666
trace_00168,commonsense_multihop,correct,trace_00143,causal_micro_world,correct,False,True,0.0,0.0
trace_00169,commonsense_multihop,correct,trace_00010,arithmetic,correct,False,True,0.0,0.0
trace_00170,commonsense_multihop,correct,trace_00143,causal_micro_world,correct,False,True,0.016528777470241153,0.13333333333333336
trace_00171,commonsense_multihop,correct,trace_00066,symbolic_logic,correct,False,True,0.0,0.0
trace_00172,commonsense_multihop,incorrect,trace_00009,arithmetic,incorrect,False,True,0.0,0.0
trace_00173,commonsense_multihop,correct,trace_00073,symbolic_logic,incorrect,False,False,0.0,0.0
trace_00174,commonsense_multihop,incorrect,trace_00168,commonsense_multihop,correct,True,False,0.0,0.0
trace_00175,commonsense_multihop,incorrect,trace_00172,commonsense_multihop,incorrect,True,True,0.0,0.0
trace_00176,commonsense_multihop,incorrect,trace_00094,temporal_ordering,incorrect,False,True,0.0,0.0
trace_00177,commonsense_multihop,incorrect,trace_00190,commonsense_multihop,incorrect,True,True,0.018621763074265447,0.15
trace_00178,commonsense_multihop,incorrect,trace_00090,temporal_ordering,correct,False,False,0.0,0.0
trace_00179,commonsense_multihop,incorrect,trace_00104,temporal_ordering,incorrect,False,True,0.0,0.0
trace_00180,commonsense_multihop,incorrect,trace_00066,symbolic_logic,correct,False,False,0.003455029339326253,0.06666666666666668
trace_00181,commonsense_multihop,correct,trace_00163,commonsense_multihop,incorrect,True,False,0.016528777470241153,0.13333333333333336
trace_00182,commonsense_multihop,correct,trace_00082,temporal_ordering,correct,False,True,0.016528777470241153,0.13333333333333336
trace_00183,commonsense_multihop,incorrect,trace_00182,commonsense_multihop,correct,True,False,0.018621763074265447,0.15
trace_00184,commonsense_multihop,correct,trace_00066,symbolic_logic,correct,False,True,0.006077489978553483,0.08333333333333334
trace_00185,commonsense_multihop,correct,trace_00136,causal_micro_world,incorrect,False,False,0.0072991567604739245,0.10000000000000002
trace_00186,commonsense_multihop,correct,trace_00174,commonsense_multihop,incorrect,True,False,0.020720839623908215,0.16666666666666666
trace_00187,commonsense_multihop,correct,trace_00049,symbolic_logic,correct,False,True,0.0,0.0
trace_00188,commonsense_multihop,incorrect,trace_00067,symbolic_logic,incorrect,False,True,0.0,0.0
trace_00189,commonsense_multihop,incorrect,trace_00092,temporal_ordering,incorrect,False,True,0.012741798951829503,0.11428571428571427
trace_00190,commonsense_multihop,incorrect,trace_00130,causal_micro_world,correct,False,False,0.016528777470241153,0.13333333333333336
trace_00191,commonsense_multihop,incorrect,trace_00109,temporal_ordering,incorrect,False,True,0.048794940695398484,0.25
trace_00192,commonsense_multihop,incorrect,trace_00196,commonsense_multihop,correct,True,False,0.0,0.0
