prompt_id,task_family,n_trials,outcome_entropy,dominant_outcome,dominant_outcome_share
arith_001,arithmetic,5,0.9709505944546686,incorrect,0.6
arith_002,arithmetic,5,0.7219280948873623,correct,0.8
arith_003,arithmetic,5,0.9709505944546686,incorrect,0.6
arith_004,arithmetic,5,0.9709505944546686,incorrect,0.6
arith_005,arithmetic,5,0.9709505944546686,correct,0.6
arith_006,arithmetic,5,0.0,correct,1.0
arith_007,arithmetic,5,0.7219280948873623,correct,0.8
arith_008,arithmetic,5,0.9709505944546686,correct,0.6
causal_001,causal_micro_world,5,0.7219280948873623,incorrect,0.8
causal_002,causal_micro_world,5,0.7219280948873623,correct,0.8
causal_003,causal_micro_world,5,0.9709505944546686,correct,0.6
causal_004,causal_micro_world,5,0.7219280948873623,correct,0.8
causal_005,causal_micro_world,5,0.9709505944546686,incorrect,0.6
causal_006,causal_micro_world,5,0.0,correct,1.0
causal_007,causal_micro_world,5,0.9709505944546686,incorrect,0.6
causal_008,causal_micro_world,5,0.9709505944546686,incorrect,0.6
commonsense_001,commonsense_multihop,5,0.9709505944546686,incorrect,0.6
commonsense_002,commonsense_multihop,5,0.0,correct,1.0
commonsense_003,commonsense_multihop,5,0.9709505944546686,incorrect,0.6
commonsense_004,commonsense_multihop,5,0.0,incorrect,1.0
commonsense_005,commonsense_multihop,5,0.7219280948873623,correct,0.8
commonsense_006,commonsense_multihop,5,0.9709505944546686,incorrect,0.6
commonsense_007,commonsense_multihop,5,0.9709505944546686,incorrect,0.6
commonsense_008,commonsense_multihop,5,0.9709505944546686,incorrect,0.6
logic_001,symbolic_logic,5,0.9709505944546686,incorrect,0.6
logic_002,symbolic_logic,5,0.9709505944546686,incorrect,0.6
logic_003,symbolic_logic,5,0.9709505944546686,incorrect,0.6
logic_004,symbolic_logic,5,0.9709505944546686,correct,0.6
logic_005,symbolic_logic,5,0.0,correct,1.0
logic_006,symbolic_logic,5,0.9709505944546686,correct,0.6
logic_007,symbolic_logic,5,0.0,incorrect,1.0
logic_008,symbolic_logic,5,0.7219280948873623,incorrect,0.8
temporal_001,temporal_ordering,5,0.9709505944546686,incorrect,0.6
temporal_002,temporal_ordering,5,0.0,correct,1.0
temporal_003,temporal_ordering,5,0.7219280948873623,incorrect,0.8
temporal_004,temporal_ordering,5,0.0,incorrect,1.0
temporal_005,temporal_ordering,5,0.7219280948873623,incorrect,0.8
temporal_006,temporal_ordering,5,0.7219280948873623,incorrect,0.8
temporal_007,temporal_ordering,5,0.9709505944546686,incorrect,0.6
temporal_008,temporal_ordering,5,0.0,incorrect,1.0
