trace_id,task_family,outcome,neighbor_trace_id,neighbor_family,neighbor_outcome,same_family_nn,same_outcome_nn,nn_js_divergence,nn_tv_distance
trace_00001,arithmetic,correct,trace_00002,arithmetic,correct,True,True,0.06127812445913278,0.25
trace_00002,arithmetic,correct,trace_00001,arithmetic,correct,True,True,0.06127812445913278,0.25
trace_00003,arithmetic,correct,trace_00005,arithmetic,correct,True,True,0.0,0.0
trace_00004,arithmetic,correct,trace_00039,causal_micro_world,correct,False,True,0.020720839623908215,0.16666666666666666
trace_00005,arithmetic,correct,trace_00007,arithmetic,correct,True,True,0.0,0.0
trace_00006,arithmetic,correct,trace_00041,commonsense_multihop,incorrect,False,False,0.11341703943421969,0.19999999999999998
trace_00007,arithmetic,correct,trace_00009,arithmetic,correct,True,True,0.0,0.0
trace_00008,arithmetic,correct,trace_00015,symbolic_logic,correct,False,True,0.020720839623908215,0.16666666666666666
trace_00009,arithmetic,correct,trace_00010,arithmetic,correct,True,True,0.0,0.0
trace_00010,arithmetic,correct,trace_00009,arithmetic,correct,True,True,0.0,0.0
trace_00011,symbolic_logic,correct,trace_00012,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00012,symbolic_logic,incorrect,trace_00011,symbolic_logic,correct,True,False,0.0,0.0
trace_00013,symbolic_logic,correct,trace_00036,causal_micro_world,incorrect,False,False,0.020720839623908215,0.16666666666666666
trace_00014,symbolic_logic,correct,trace_00042,commonsense_multihop,incorrect,False,False,0.09449507748815748,0.21428571428571427
trace_00015,symbolic_logic,correct,trace_00008,arithmetic,correct,False,True,0.020720839623908215,0.16666666666666666
trace_00016,symbolic_logic,correct,trace_00029,temporal_ordering,correct,False,True,0.0,0.0
trace_00017,symbolic_logic,incorrect,trace_00016,symbolic_logic,correct,True,False,0.0069498979327612745,0.09523809523809523
trace_00018,symbolic_logic,correct,trace_00019,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00019,symbolic_logic,incorrect,trace_00018,symbolic_logic,correct,True,False,0.0,0.0
trace_00020,symbolic_logic,correct,trace_00030,temporal_ordering,correct,False,True,0.0013693754970769047,0.04166666666666666
trace_00021,temporal_ordering,correct,trace_00036,causal_micro_world,incorrect,False,False,0.0,0.0
trace_00022,temporal_ordering,incorrect,trace_00037,causal_micro_world,incorrect,False,True,0.02132169949429524,0.17142857142857143
trace_00023,temporal_ordering,correct,trace_00047,commonsense_multihop,correct,False,True,0.018621763074265447,0.15
trace_00024,temporal_ordering,correct,trace_00042,commonsense_multihop,incorrect,False,False,0.014739610977485907,0.11904761904761904
trace_00025,temporal_ordering,correct,trace_00046,commonsense_multihop,correct,False,True,0.020720839623908215,0.16666666666666666
trace_00026,temporal_ordering,correct,trace_00019,symbolic_logic,incorrect,False,False,0.0,0.0
trace_00027,temporal_ordering,correct,trace_00026,temporal_ordering,correct,True,True,0.020720839623908215,0.16666666666666666
trace_00028,temporal_ordering,correct,trace_00035,causal_micro_world,incorrect,False,False,0.0,0.0
trace_00029,temporal_ordering,correct,trace_00016,symbolic_logic,correct,False,True,0.0,0.0
trace_00030,temporal_ordering,correct,trace_00020,symbolic_logic,correct,False,True,0.0013693754970769047,0.04166666666666666
trace_00031,causal_micro_world,incorrect,trace_00035,causal_micro_world,incorrect,True,True,0.020720839623908215,0.16666666666666666
trace_00032,causal_micro_world,incorrect,trace_00001,arithmetic,correct,False,False,0.13792538097003013,0.24999999999999997
trace_00033,causal_micro_world,correct,trace_00040,causal_micro_world,correct,True,True,0.0,0.0
trace_00034,causal_micro_world,incorrect,trace_00031,causal_micro_world,incorrect,True,True,0.1908745046211096,0.33333333333333337
trace_00035,causal_micro_world,incorrect,trace_00028,temporal_ordering,correct,False,False,0.0,0.0
trace_00036,causal_micro_world,incorrect,trace_00021,temporal_ordering,correct,False,False,0.0,0.0
trace_00037,causal_micro_world,incorrect,trace_00022,temporal_ordering,incorrect,False,True,0.02132169949429524,0.17142857142857143
trace_00038,causal_micro_world,correct,trace_00014,symbolic_logic,correct,False,True,0.13792538097003013,0.24999999999999997
trace_00039,causal_micro_world,correct,trace_00004,arithmetic,correct,False,True,0.020720839623908215,0.16666666666666666
trace_00040,causal_micro_world,correct,trace_00033,causal_micro_world,correct,True,True,0.0,0.0
trace_00041,commonsense_multihop,incorrect,trace_00011,symbolic_logic,correct,False,False,0.05216841772705745,0.2666666666666666
trace_00042,commonsense_multihop,incorrect,trace_00024,temporal_ordering,correct,False,False,0.014739610977485907,0.11904761904761904
trace_00043,commonsense_multihop,incorrect,trace_00023,temporal_ordering,correct,False,False,0.10803154614560012,0.19999999999999998
trace_00044,commonsense_multihop,incorrect,trace_00045,commonsense_multihop,incorrect,True,True,0.0,0.0
trace_00045,commonsense_multihop,incorrect,trace_00044,commonsense_multihop,incorrect,True,True,0.0,0.0
trace_00046,commonsense_multihop,correct,trace_00025,temporal_ordering,correct,False,True,0.020720839623908215,0.16666666666666666
trace_00047,commonsense_multihop,correct,trace_00040,causal_micro_world,correct,False,True,0.0,0.0
trace_00048,commonsense_multihop,incorrect,trace_00045,commonsense_multihop,incorrect,True,True,0.003455029339326253,0.06666666666666668
trace_00049,commonsense_multihop,correct,trace_00048,commonsense_multihop,incorrect,True,False,0.05216841772705745,0.2666666666666666
trace_00050,commonsense_multihop,uncertain,trace_00047,commonsense_multihop,correct,True,False,0.020720839623908218,0.16666666666666666
