trace_id,prompt_id,task_family,outcome,trial_id,n_deltas,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4
trace_00001,arith_001,arithmetic,correct,arith_001__trial_01,4,0.25,0.0,0.0,0.5,0.25
trace_00002,arith_001,arithmetic,correct,arith_001__trial_02,4,0.5,0.0,0.0,0.25,0.25
trace_00003,arith_001,arithmetic,correct,arith_001__trial_03,2,0.5,0.0,0.0,0.5,0.0
trace_00004,arith_001,arithmetic,correct,arith_001__trial_04,2,0.5,0.5,0.0,0.0,0.0
trace_00005,arith_001,arithmetic,correct,arith_001__trial_05,2,0.5,0.0,0.0,0.5,0.0
trace_00006,arith_002,arithmetic,correct,arith_002__trial_01,3,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
trace_00007,arith_002,arithmetic,correct,arith_002__trial_02,2,0.5,0.0,0.0,0.5,0.0
trace_00008,arith_002,arithmetic,correct,arith_002__trial_03,2,0.5,0.0,0.5,0.0,0.0
trace_00009,arith_002,arithmetic,correct,arith_002__trial_04,2,0.5,0.0,0.0,0.5,0.0
trace_00010,arith_002,arithmetic,correct,arith_002__trial_05,2,0.5,0.0,0.0,0.5,0.0
trace_00011,logic_001,symbolic_logic,correct,logic_001__trial_01,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
trace_00012,logic_001,symbolic_logic,incorrect,logic_001__trial_02,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
trace_00013,logic_001,symbolic_logic,correct,logic_001__trial_03,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
trace_00014,logic_001,symbolic_logic,correct,logic_001__trial_04,4,0.25,0.0,0.25,0.25,0.25
trace_00015,logic_001,symbolic_logic,correct,logic_001__trial_05,3,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
trace_00016,logic_002,symbolic_logic,correct,logic_002__trial_01,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
trace_00017,logic_002,symbolic_logic,incorrect,logic_002__trial_02,7,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.0
trace_00018,logic_002,symbolic_logic,correct,logic_002__trial_03,2,0.0,0.5,0.5,0.0,0.0
trace_00019,logic_002,symbolic_logic,incorrect,logic_002__trial_04,2,0.0,0.5,0.5,0.0,0.0
trace_00020,logic_002,symbolic_logic,correct,logic_002__trial_05,3,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
trace_00021,temporal_001,temporal_ordering,correct,temporal_001__trial_01,4,0.25,0.5,0.25,0.0,0.0
trace_00022,temporal_001,temporal_ordering,incorrect,temporal_001__trial_02,7,0.14285714285714285,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0
trace_00023,temporal_001,temporal_ordering,correct,temporal_001__trial_03,5,0.0,0.2,0.2,0.2,0.4
trace_00024,temporal_001,temporal_ordering,correct,temporal_001__trial_04,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333
trace_00025,temporal_001,temporal_ordering,correct,temporal_001__trial_05,3,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333
trace_00026,temporal_002,temporal_ordering,correct,temporal_002__trial_01,4,0.0,0.5,0.5,0.0,0.0
trace_00027,temporal_002,temporal_ordering,correct,temporal_002__trial_02,3,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
trace_00028,temporal_002,temporal_ordering,correct,temporal_002__trial_03,2,0.0,0.0,0.5,0.5,0.0
trace_00029,temporal_002,temporal_ordering,correct,temporal_002__trial_04,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
trace_00030,temporal_002,temporal_ordering,correct,temporal_002__trial_05,8,0.0,0.375,0.625,0.0,0.0
trace_00031,causal_001,causal_micro_world,incorrect,causal_001__trial_01,3,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
trace_00032,causal_001,causal_micro_world,incorrect,causal_001__trial_02,3,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
trace_00033,causal_001,causal_micro_world,correct,causal_001__trial_03,4,0.0,0.25,0.25,0.25,0.25
trace_00034,causal_001,causal_micro_world,incorrect,causal_001__trial_04,2,0.0,0.0,0.0,1.0,0.0
trace_00035,causal_001,causal_micro_world,incorrect,causal_001__trial_05,2,0.0,0.0,0.5,0.5,0.0
trace_00036,causal_002,causal_micro_world,incorrect,causal_002__trial_01,4,0.25,0.5,0.25,0.0,0.0
trace_00037,causal_002,causal_micro_world,incorrect,causal_002__trial_02,5,0.2,0.4,0.2,0.2,0.0
trace_00038,causal_002,causal_micro_world,correct,causal_002__trial_03,3,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
trace_00039,causal_002,causal_micro_world,correct,causal_002__trial_04,3,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
trace_00040,causal_002,causal_micro_world,correct,causal_002__trial_05,4,0.0,0.25,0.25,0.25,0.25
trace_00041,commonsense_001,commonsense_multihop,incorrect,commonsense_001__trial_01,5,0.2,0.2,0.0,0.0,0.6
trace_00042,commonsense_001,commonsense_multihop,incorrect,commonsense_001__trial_02,7,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.2857142857142857
trace_00043,commonsense_001,commonsense_multihop,incorrect,commonsense_001__trial_03,4,0.0,0.0,0.25,0.25,0.5
trace_00044,commonsense_001,commonsense_multihop,incorrect,commonsense_001__trial_04,6,0.0,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666
trace_00045,commonsense_001,commonsense_multihop,incorrect,commonsense_001__trial_05,6,0.0,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666
trace_00046,commonsense_002,commonsense_multihop,correct,commonsense_002__trial_01,4,0.0,0.25,0.25,0.0,0.5
trace_00047,commonsense_002,commonsense_multihop,correct,commonsense_002__trial_02,4,0.0,0.25,0.25,0.25,0.25
trace_00048,commonsense_002,commonsense_multihop,incorrect,commonsense_002__trial_03,5,0.0,0.2,0.0,0.2,0.6
trace_00049,commonsense_002,commonsense_multihop,correct,commonsense_002__trial_04,3,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
trace_00050,commonsense_002,commonsense_multihop,uncertain,commonsense_002__trial_05,6,0.0,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666
