task_family,outcome,residual_cluster,count
arithmetic,correct,0,11
arithmetic,correct,1,1
arithmetic,correct,2,1
arithmetic,correct,3,8
arithmetic,correct,4,4
causal_micro_world,correct,0,2
causal_micro_world,correct,1,4
causal_micro_world,correct,2,3
causal_micro_world,correct,3,2
causal_micro_world,correct,4,3
causal_micro_world,incorrect,0,2
causal_micro_world,incorrect,1,4
causal_micro_world,incorrect,2,4
causal_micro_world,incorrect,3,8
causal_micro_world,incorrect,4,1
commonsense_multihop,correct,1,3
commonsense_multihop,correct,2,2
commonsense_multihop,correct,3,2
commonsense_multihop,correct,4,4
commonsense_multihop,incorrect,0,3
commonsense_multihop,incorrect,1,5
commonsense_multihop,incorrect,2,2
commonsense_multihop,incorrect,3,5
commonsense_multihop,incorrect,4,18
commonsense_multihop,uncertain,1,2
commonsense_multihop,uncertain,2,1
commonsense_multihop,uncertain,3,2
commonsense_multihop,uncertain,4,1
symbolic_logic,correct,0,5
symbolic_logic,correct,1,5
symbolic_logic,correct,2,7
symbolic_logic,correct,3,2
symbolic_logic,correct,4,2
symbolic_logic,incorrect,0,1
symbolic_logic,incorrect,1,5
symbolic_logic,incorrect,2,3
symbolic_logic,incorrect,3,2
symbolic_logic,incorrect,4,1
temporal_ordering,correct,0,2
temporal_ordering,correct,1,13
temporal_ordering,correct,2,14
temporal_ordering,correct,3,4
temporal_ordering,correct,4,5
temporal_ordering,incorrect,0,1
temporal_ordering,incorrect,1,2
temporal_ordering,incorrect,2,2
temporal_ordering,incorrect,3,2
