task_family,outcome,best_abs_alignment,residual_energy
arithmetic,correct,0.1242839783243835,0.9903312595685323
arithmetic,incorrect,0.14208111402889093,0.987442570924759
causal_micro_world,correct,0.16837381931642692,0.9845053717494011
causal_micro_world,incorrect,0.1562214109322263,0.9866185842288865
commonsense_multihop,correct,0.14399699222606918,0.987859234213829
commonsense_multihop,incorrect,0.14989538089587137,0.9870133858460647
symbolic_logic,correct,0.12930001105026653,0.9898119711627563
symbolic_logic,incorrect,0.13215386339380772,0.990119634549829
temporal_ordering,correct,0.1747715127802341,0.9812348568550894
temporal_ordering,incorrect,0.15520750855406126,0.9866820958753427
