task_family,outcome,within_prompt_js,between_prompt_js,js_margin,js_ratio,centroid_entropy,dominant_cluster_share
arithmetic,correct,0.19134225604383004,0.4196683727261882,0.2283261166823581,0.4886772648958081,1.72064265217956,0.42851800976800974
arithmetic,incorrect,0.36513457648201775,0.4903050403300605,0.12517046384804276,0.8218901777655656,1.4389064854132974,0.5805555555555555
causal_micro_world,correct,0.07940685395186617,0.4335643582949627,0.35415750434309656,0.167414528529718,1.3799808109746063,0.5087148053665911
causal_micro_world,incorrect,0.13230556749625588,0.4335643582949627,0.3516140143857632,0.24594888868202935,1.3256866105289866,0.5411706349206349
commonsense_multihop,correct,0.11482179245767048,0.29752035336135485,0.18269856090368441,0.39085349897785054,1.7111322929855866,0.4781730769230769
commonsense_multihop,incorrect,0.26506389336336383,0.29752035336135485,0.03245645999799103,0.9154783482917388,1.7997521947787196,0.40854395604395605
symbolic_logic,correct,0.12703399480665498,0.2493498287284541,0.12231583392179912,0.519726816756999,1.3343443919659137,0.5522073412698413
symbolic_logic,incorrect,0.10800573066279359,0.2493498287284541,0.1413440980656605,0.43435869167802876,1.138505305741655,0.5683201058201058
temporal_ordering,correct,0.27817466445686984,0.384222724975582,0.10604806051871214,0.7090206403814077,1.615646668133727,0.469057239057239
temporal_ordering,incorrect,0.18446810217279394,0.42498452033885464,0.24051641816606073,0.46336846620344296,1.5009222835985123,0.49885416666666665
