task_family,outcome,phase_path,count
arithmetic,correct,NA->2->4,19
arithmetic,correct,NA->2->3,8
arithmetic,correct,2->3->3,3
arithmetic,correct,2->3->4,3
arithmetic,correct,0->0->4,2
arithmetic,correct,0->4->0,2
arithmetic,correct,2->0->3,2
arithmetic,correct,0->1->4,1
arithmetic,correct,1->2->4,1
arithmetic,correct,1->4->0,1
arithmetic,correct,2->0->1,1
arithmetic,correct,2->2->1,1
arithmetic,correct,2->4->2,1
arithmetic,correct,2->4->4,1
arithmetic,correct,3->1->4,1
arithmetic,correct,3->2->4,1
arithmetic,correct,NA->NA->2,1
arithmetic,incorrect,NA->0->4,4
arithmetic,incorrect,0->3->0,3
arithmetic,incorrect,0->1->3,1
arithmetic,incorrect,0->4->3,1
arithmetic,incorrect,2->3->4,1
arithmetic,incorrect,NA->NA->2,1
causal_micro_world,correct,4->1->3,9
causal_micro_world,correct,1->3->3,8
causal_micro_world,correct,2->4->3,8
causal_micro_world,correct,4->4->1,3
causal_micro_world,correct,1->1->4,2
causal_micro_world,correct,1->3->1,1
causal_micro_world,correct,4->0->1,1
causal_micro_world,correct,4->4->3,1
causal_micro_world,correct,NA->NA->1,1
causal_micro_world,incorrect,1->3->3,6
causal_micro_world,incorrect,NA->1->1,6
causal_micro_world,incorrect,2->4->3,4
causal_micro_world,incorrect,3->4->3,2
causal_micro_world,incorrect,NA->1->0,2
causal_micro_world,incorrect,NA->1->4,2
causal_micro_world,incorrect,0->3->1,1
causal_micro_world,incorrect,1->1->3,1
causal_micro_world,incorrect,2->4->2,1
causal_micro_world,incorrect,4->1->3,1
commonsense_multihop,correct,1->3->1,3
commonsense_multihop,correct,1->1->4,2
commonsense_multihop,correct,4->1->3,2
commonsense_multihop,correct,4->3->1,2
commonsense_multihop,correct,0->1->3,1
commonsense_multihop,correct,1->0->1,1
commonsense_multihop,correct,1->0->4,1
commonsense_multihop,correct,1->3->0,1
commonsense_multihop,correct,1->3->4,1
commonsense_multihop,correct,1->4->0,1
commonsense_multihop,correct,1->4->1,1
commonsense_multihop,correct,1->4->3,1
commonsense_multihop,correct,3->0->3,1
commonsense_multihop,correct,3->1->0,1
commonsense_multihop,correct,3->1->1,1
commonsense_multihop,correct,3->4->1,1
commonsense_multihop,correct,4->1->0,1
commonsense_multihop,correct,4->1->1,1
commonsense_multihop,correct,4->1->4,1
commonsense_multihop,correct,4->4->1,1
commonsense_multihop,incorrect,1->3->1,3
commonsense_multihop,incorrect,1->3->4,3
commonsense_multihop,incorrect,0->3->1,2
commonsense_multihop,incorrect,0->3->3,2
commonsense_multihop,incorrect,1->3->3,2
commonsense_multihop,incorrect,1->4->1,2
commonsense_multihop,incorrect,3->0->1,2
commonsense_multihop,incorrect,3->0->3,2
