task_family,feature_set,cv_accuracy,cv_balanced_accuracy
arithmetic,early_only,0.8166666666666668,0.5
arithmetic,early_middle,0.8166666666666668,0.5622222222222223
arithmetic,full_path,0.8,0.5522222222222222
causal_micro_world,early_only,0.7166666666666667,0.6757142857142858
causal_micro_world,early_middle,0.6833333333333333,0.6471428571428572
causal_micro_world,full_path,0.6666666666666666,0.6328571428571429
commonsense_multihop,early_only,0.5,0.44000000000000006
commonsense_multihop,early_middle,0.6166666666666667,0.5742857142857142
commonsense_multihop,full_path,0.5833333333333333,0.5342857142857143
symbolic_logic,early_only,0.4666666666666667,0.4666666666666666
symbolic_logic,early_middle,0.4833333333333334,0.48095238095238085
symbolic_logic,full_path,0.4333333333333333,0.4309523809523809
temporal_ordering,early_only,0.6333333333333333,0.6180952380952381
temporal_ordering,early_middle,0.6666666666666667,0.6652380952380952
temporal_ordering,full_path,0.7333333333333334,0.7352380952380951
