task_family,outcome,transition,transition_path,count
arithmetic,correct,early_to_middle,2->3,6
arithmetic,correct,early_to_middle,2->0,3
arithmetic,correct,early_to_middle,0->0,2
arithmetic,correct,early_to_middle,0->4,2
arithmetic,correct,early_to_middle,2->4,2
arithmetic,correct,early_to_middle,0->1,1
arithmetic,correct,early_to_middle,1->2,1
arithmetic,correct,early_to_middle,1->4,1
arithmetic,correct,early_to_middle,2->2,1
arithmetic,correct,early_to_middle,3->1,1
arithmetic,correct,early_to_middle,3->2,1
arithmetic,correct,middle_to_late,2->4,21
arithmetic,correct,middle_to_late,2->3,8
arithmetic,correct,middle_to_late,3->3,3
arithmetic,correct,middle_to_late,3->4,3
arithmetic,correct,middle_to_late,4->0,3
arithmetic,correct,middle_to_late,0->3,2
arithmetic,correct,middle_to_late,0->4,2
arithmetic,correct,middle_to_late,1->4,2
arithmetic,correct,middle_to_late,0->1,1
arithmetic,correct,middle_to_late,2->1,1
arithmetic,correct,middle_to_late,4->2,1
arithmetic,correct,middle_to_late,4->4,1
arithmetic,incorrect,early_to_middle,0->3,3
arithmetic,incorrect,early_to_middle,0->1,1
arithmetic,incorrect,early_to_middle,0->4,1
arithmetic,incorrect,early_to_middle,2->3,1
arithmetic,incorrect,middle_to_late,0->4,4
arithmetic,incorrect,middle_to_late,3->0,3
arithmetic,incorrect,middle_to_late,1->3,1
arithmetic,incorrect,middle_to_late,3->4,1
arithmetic,incorrect,middle_to_late,4->3,1
causal_micro_world,correct,early_to_middle,1->3,9
causal_micro_world,correct,early_to_middle,4->1,9
causal_micro_world,correct,early_to_middle,2->4,8
causal_micro_world,correct,early_to_middle,4->4,4
causal_micro_world,correct,early_to_middle,1->1,2
causal_micro_world,correct,early_to_middle,4->0,1
causal_micro_world,correct,middle_to_late,1->3,9
causal_micro_world,correct,middle_to_late,4->3,9
causal_micro_world,correct,middle_to_late,3->3,8
causal_micro_world,correct,middle_to_late,4->1,3
causal_micro_world,correct,middle_to_late,1->4,2
causal_micro_world,correct,middle_to_late,0->1,1
causal_micro_world,correct,middle_to_late,3->1,1
causal_micro_world,incorrect,early_to_middle,1->3,6
causal_micro_world,incorrect,early_to_middle,2->4,5
causal_micro_world,incorrect,early_to_middle,3->4,2
causal_micro_world,incorrect,early_to_middle,0->3,1
causal_micro_world,incorrect,early_to_middle,1->1,1
causal_micro_world,incorrect,early_to_middle,4->1,1
causal_micro_world,incorrect,middle_to_late,1->1,6
causal_micro_world,incorrect,middle_to_late,3->3,6
causal_micro_world,incorrect,middle_to_late,4->3,6
causal_micro_world,incorrect,middle_to_late,1->0,2
causal_micro_world,incorrect,middle_to_late,1->3,2
causal_micro_world,incorrect,middle_to_late,1->4,2
causal_micro_world,incorrect,middle_to_late,3->1,1
causal_micro_world,incorrect,middle_to_late,4->2,1
commonsense_multihop,correct,early_to_middle,1->3,5
commonsense_multihop,correct,early_to_middle,4->1,5
commonsense_multihop,correct,early_to_middle,1->4,3
commonsense_multihop,correct,early_to_middle,1->0,2
commonsense_multihop,correct,early_to_middle,1->1,2
commonsense_multihop,correct,early_to_middle,3->1,2
commonsense_multihop,correct,early_to_middle,4->3,2
commonsense_multihop,correct,early_to_middle,0->1,1
commonsense_multihop,correct,early_to_middle,3->0,1
commonsense_multihop,correct,early_to_middle,3->4,1
commonsense_multihop,correct,early_to_middle,4->4,1
commonsense_multihop,correct,middle_to_late,3->1,5
commonsense_multihop,correct,middle_to_late,1->3,3
commonsense_multihop,correct,middle_to_late,1->4,3
commonsense_multihop,correct,middle_to_late,4->1,3
commonsense_multihop,correct,middle_to_late,1->0,2
commonsense_multihop,correct,middle_to_late,1->1,2
commonsense_multihop,correct,middle_to_late,0->1,1
commonsense_multihop,correct,middle_to_late,0->3,1
commonsense_multihop,correct,middle_to_late,0->4,1
commonsense_multihop,correct,middle_to_late,3->0,1
commonsense_multihop,correct,middle_to_late,3->4,1
commonsense_multihop,correct,middle_to_late,4->0,1
commonsense_multihop,correct,middle_to_late,4->3,1
commonsense_multihop,incorrect,early_to_middle,1->3,9
commonsense_multihop,incorrect,early_to_middle,3->0,5
commonsense_multihop,incorrect,early_to_middle,0->3,4
commonsense_multihop,incorrect,early_to_middle,3->1,3
commonsense_multihop,incorrect,early_to_middle,4->1,3
commonsense_multihop,incorrect,early_to_middle,1->1,2
commonsense_multihop,incorrect,early_to_middle,1->4,2
commonsense_multihop,incorrect,early_to_middle,3->4,2
commonsense_multihop,incorrect,early_to_middle,4->0,2
commonsense_multihop,incorrect,early_to_middle,4->3,2
commonsense_multihop,incorrect,early_to_middle,1->0,1
commonsense_multihop,incorrect,middle_to_late,3->1,5
commonsense_multihop,incorrect,middle_to_late,0->3,4
commonsense_multihop,incorrect,middle_to_late,1->3,4
commonsense_multihop,incorrect,middle_to_late,3->3,4
commonsense_multihop,incorrect,middle_to_late,3->4,4
commonsense_multihop,incorrect,middle_to_late,0->1,2
commonsense_multihop,incorrect,middle_to_late,1->4,2
commonsense_multihop,incorrect,middle_to_late,3->0,2
commonsense_multihop,incorrect,middle_to_late,4->1,2
commonsense_multihop,incorrect,middle_to_late,4->3,2
commonsense_multihop,incorrect,middle_to_late,0->0,1
commonsense_multihop,incorrect,middle_to_late,0->4,1
commonsense_multihop,incorrect,middle_to_late,1->0,1
