trace_id,task_family,outcome,neighbor_trace_id,neighbor_family,neighbor_outcome,same_family_nn,same_outcome_nn,nn_js_divergence,nn_tv_distance
trace_00001,arithmetic,correct,trace_00002,arithmetic,correct,True,True,0.0,0.0
trace_00002,arithmetic,correct,trace_00003,arithmetic,correct,True,True,0.0,0.0
trace_00003,arithmetic,correct,trace_00004,arithmetic,correct,True,True,0.0,0.0
trace_00004,arithmetic,correct,trace_00005,arithmetic,correct,True,True,0.0,0.0
trace_00005,arithmetic,correct,trace_00006,arithmetic,correct,True,True,0.0,0.0
trace_00006,arithmetic,correct,trace_00007,arithmetic,correct,True,True,0.0,0.0
trace_00007,arithmetic,correct,trace_00008,arithmetic,correct,True,True,0.0,0.0
trace_00008,arithmetic,correct,trace_00009,arithmetic,correct,True,True,0.0,0.0
trace_00009,arithmetic,correct,trace_00008,arithmetic,correct,True,True,0.0,0.0
trace_00010,arithmetic,correct,trace_00009,arithmetic,correct,True,True,0.020720839623908215,0.16666666666666666
trace_00011,arithmetic,correct,trace_00200,causal_micro_world,correct,False,True,0.0,0.0
trace_00012,arithmetic,correct,trace_00013,arithmetic,correct,True,True,0.0,0.0
trace_00013,arithmetic,correct,trace_00014,arithmetic,correct,True,True,0.0,0.0
trace_00014,arithmetic,correct,trace_00013,arithmetic,correct,True,True,0.0,0.0
trace_00015,arithmetic,correct,trace_00025,arithmetic,correct,True,True,0.10532008566602571,0.23809523809523808
trace_00016,arithmetic,correct,trace_00017,arithmetic,correct,True,True,0.0,0.0
trace_00017,arithmetic,correct,trace_00018,arithmetic,correct,True,True,0.0,0.0
trace_00018,arithmetic,correct,trace_00019,arithmetic,correct,True,True,0.0,0.0
trace_00019,arithmetic,correct,trace_00018,arithmetic,correct,True,True,0.0,0.0
trace_00020,arithmetic,correct,trace_00041,arithmetic,correct,True,True,0.0,0.0
trace_00021,arithmetic,correct,trace_00227,causal_micro_world,correct,False,True,0.08880563947945644,0.1666666666666667
trace_00022,arithmetic,correct,trace_00023,arithmetic,correct,True,True,0.0,0.0
trace_00023,arithmetic,correct,trace_00022,arithmetic,correct,True,True,0.0,0.0
trace_00024,arithmetic,correct,trace_00041,arithmetic,correct,True,True,0.0,0.0
trace_00025,arithmetic,correct,trace_00015,arithmetic,correct,True,True,0.10532008566602571,0.23809523809523808
trace_00026,arithmetic,correct,trace_00176,temporal_ordering,incorrect,False,False,0.0,0.0
trace_00027,arithmetic,correct,trace_00002,arithmetic,correct,True,True,0.0,0.0
trace_00028,arithmetic,correct,trace_00024,arithmetic,correct,True,True,0.0,0.0
trace_00029,arithmetic,correct,trace_00043,arithmetic,incorrect,True,False,0.0,0.0
trace_00030,arithmetic,correct,trace_00041,arithmetic,correct,True,True,0.0,0.0
trace_00031,arithmetic,correct,trace_00210,causal_micro_world,incorrect,False,False,0.0,0.0
trace_00032,arithmetic,correct,trace_00042,arithmetic,correct,True,True,0.0,0.0
trace_00033,arithmetic,correct,trace_00034,arithmetic,correct,True,True,0.0,0.0
trace_00034,arithmetic,correct,trace_00035,arithmetic,correct,True,True,0.0,0.0
trace_00035,arithmetic,correct,trace_00034,arithmetic,correct,True,True,0.0,0.0
trace_00036,arithmetic,incorrect,trace_00197,causal_micro_world,correct,False,False,0.0,0.0
trace_00037,arithmetic,correct,trace_00176,temporal_ordering,incorrect,False,False,0.0,0.0
trace_00038,arithmetic,correct,trace_00197,causal_micro_world,correct,False,True,0.0,0.0
trace_00039,arithmetic,correct,trace_00176,temporal_ordering,incorrect,False,False,0.0,0.0
trace_00040,arithmetic,correct,trace_00197,causal_micro_world,correct,False,True,0.0,0.0
trace_00041,arithmetic,correct,trace_00176,temporal_ordering,incorrect,False,False,0.0,0.0
trace_00042,arithmetic,correct,trace_00032,arithmetic,correct,True,True,0.0,0.0
trace_00043,arithmetic,incorrect,trace_00029,arithmetic,correct,True,False,0.0,0.0
trace_00044,arithmetic,correct,trace_00045,arithmetic,correct,True,True,0.020720839623908215,0.16666666666666666
trace_00045,arithmetic,correct,trace_00044,arithmetic,correct,True,True,0.020720839623908215,0.16666666666666666
trace_00046,arithmetic,incorrect,trace_00165,temporal_ordering,incorrect,False,True,0.007299156760473963,0.09999999999999998
trace_00047,arithmetic,incorrect,trace_00048,arithmetic,incorrect,True,True,0.0,0.0
trace_00048,arithmetic,incorrect,trace_00047,arithmetic,incorrect,True,True,0.0,0.0
trace_00049,arithmetic,correct,trace_00134,temporal_ordering,incorrect,False,False,0.003455029339326253,0.06666666666666668
trace_00050,arithmetic,correct,trace_00131,temporal_ordering,correct,False,True,0.010681852911098206,0.09523809523809523
trace_00051,arithmetic,incorrect,trace_00124,temporal_ordering,correct,False,False,0.0,0.0
trace_00052,arithmetic,incorrect,trace_00114,symbolic_logic,correct,False,False,0.0,0.0
trace_00053,arithmetic,correct,trace_00152,temporal_ordering,correct,False,True,0.029807760764533387,0.17857142857142858
trace_00054,arithmetic,correct,trace_00164,temporal_ordering,correct,False,True,0.0,0.0
trace_00055,arithmetic,incorrect,trace_00051,arithmetic,incorrect,True,True,0.0,0.0
trace_00056,arithmetic,correct,trace_00059,arithmetic,incorrect,True,False,0.0,0.0
trace_00057,arithmetic,incorrect,trace_00058,arithmetic,incorrect,True,True,0.0,0.0
trace_00058,arithmetic,incorrect,trace_00057,arithmetic,incorrect,True,True,0.0,0.0
trace_00059,arithmetic,incorrect,trace_00287,commonsense_multihop,correct,False,False,0.0,0.0
trace_00060,arithmetic,correct,trace_00059,arithmetic,incorrect,True,False,0.048794940695398595,0.25000000000000006
trace_00061,symbolic_logic,incorrect,trace_00299,commonsense_multihop,incorrect,False,True,0.0,0.0
trace_00062,symbolic_logic,correct,trace_00065,symbolic_logic,incorrect,True,False,0.018621763074265447,0.15
trace_00063,symbolic_logic,correct,trace_00064,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00064,symbolic_logic,incorrect,trace_00063,symbolic_logic,correct,True,False,0.0,0.0
trace_00065,symbolic_logic,incorrect,trace_00246,commonsense_multihop,incorrect,False,True,0.0,0.0
trace_00066,symbolic_logic,correct,trace_00269,commonsense_multihop,incorrect,False,False,0.0,0.0
trace_00067,symbolic_logic,correct,trace_00071,symbolic_logic,correct,True,True,0.0,0.0
trace_00068,symbolic_logic,correct,trace_00069,symbolic_logic,correct,True,True,0.0,0.0
trace_00069,symbolic_logic,correct,trace_00068,symbolic_logic,correct,True,True,0.0,0.0
trace_00070,symbolic_logic,incorrect,trace_00261,commonsense_multihop,correct,False,False,0.0,0.0
trace_00071,symbolic_logic,correct,trace_00192,causal_micro_world,incorrect,False,False,0.0,0.0
trace_00072,symbolic_logic,correct,trace_00162,temporal_ordering,incorrect,False,False,0.013252021611059135,0.10714285714285712
trace_00073,symbolic_logic,incorrect,trace_00183,causal_micro_world,incorrect,False,True,0.0,0.0
trace_00074,symbolic_logic,incorrect,trace_00256,commonsense_multihop,correct,False,False,0.0,0.0
trace_00075,symbolic_logic,incorrect,trace_00175,temporal_ordering,incorrect,False,True,0.0,0.0
trace_00076,symbolic_logic,correct,trace_00269,commonsense_multihop,incorrect,False,False,0.0,0.0
trace_00077,symbolic_logic,incorrect,trace_00078,symbolic_logic,correct,True,False,0.0,0.0
trace_00078,symbolic_logic,correct,trace_00077,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00079,symbolic_logic,correct,trace_00058,arithmetic,incorrect,False,False,0.0,0.0
trace_00080,symbolic_logic,correct,trace_00269,commonsense_multihop,incorrect,False,False,0.0,0.0
trace_00081,symbolic_logic,incorrect,trace_00082,symbolic_logic,correct,True,False,0.0,0.0
trace_00082,symbolic_logic,correct,trace_00083,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00083,symbolic_logic,incorrect,trace_00082,symbolic_logic,correct,True,False,0.0,0.0
trace_00084,symbolic_logic,incorrect,trace_00269,commonsense_multihop,incorrect,False,True,0.0,0.0
trace_00085,symbolic_logic,incorrect,trace_00102,symbolic_logic,correct,True,False,0.0,0.0
trace_00086,symbolic_logic,incorrect,trace_00133,temporal_ordering,correct,False,False,0.0,0.0
trace_00087,symbolic_logic,incorrect,trace_00269,commonsense_multihop,incorrect,False,True,0.0,0.0
trace_00088,symbolic_logic,incorrect,trace_00098,symbolic_logic,incorrect,True,True,0.0,0.0
trace_00089,symbolic_logic,correct,trace_00155,temporal_ordering,correct,False,True,0.0,0.0
trace_00090,symbolic_logic,incorrect,trace_00066,symbolic_logic,correct,True,False,0.0,0.0
trace_00091,symbolic_logic,correct,trace_00092,symbolic_logic,correct,True,True,0.0,0.0
trace_00092,symbolic_logic,correct,trace_00091,symbolic_logic,correct,True,True,0.0,0.0
trace_00093,symbolic_logic,incorrect,trace_00094,symbolic_logic,incorrect,True,True,0.0,0.0
trace_00094,symbolic_logic,incorrect,trace_00093,symbolic_logic,incorrect,True,True,0.0,0.0
trace_00095,symbolic_logic,incorrect,trace_00092,symbolic_logic,correct,True,False,0.0,0.0
trace_00096,symbolic_logic,incorrect,trace_00083,symbolic_logic,incorrect,True,True,0.0,0.0
trace_00097,symbolic_logic,incorrect,trace_00116,symbolic_logic,correct,True,False,0.0,0.0
trace_00098,symbolic_logic,incorrect,trace_00102,symbolic_logic,correct,True,False,0.0,0.0
trace_00099,symbolic_logic,correct,trace_00154,temporal_ordering,correct,False,True,0.016528777470241153,0.13333333333333336
trace_00100,symbolic_logic,correct,trace_00070,symbolic_logic,incorrect,True,False,0.007299156760473963,0.09999999999999998
trace_00101,symbolic_logic,incorrect,trace_00089,symbolic_logic,correct,True,False,0.0,0.0
trace_00102,symbolic_logic,correct,trace_00088,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00103,symbolic_logic,incorrect,trace_00083,symbolic_logic,incorrect,True,True,0.0,0.0
trace_00104,symbolic_logic,incorrect,trace_00105,symbolic_logic,correct,True,False,0.0,0.0
trace_00105,symbolic_logic,correct,trace_00104,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00106,symbolic_logic,correct,trace_00107,symbolic_logic,correct,True,True,0.0,0.0
trace_00107,symbolic_logic,correct,trace_00106,symbolic_logic,correct,True,True,0.0,0.0
trace_00108,symbolic_logic,incorrect,trace_00113,symbolic_logic,correct,True,False,0.0,0.0
trace_00109,symbolic_logic,incorrect,trace_00077,symbolic_logic,incorrect,True,True,0.0,0.0
trace_00110,symbolic_logic,correct,trace_00111,symbolic_logic,correct,True,True,0.0,0.0
trace_00111,symbolic_logic,correct,trace_00110,symbolic_logic,correct,True,True,0.0,0.0
trace_00112,symbolic_logic,correct,trace_00093,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00113,symbolic_logic,correct,trace_00115,symbolic_logic,correct,True,True,0.0,0.0
trace_00114,symbolic_logic,correct,trace_00052,arithmetic,incorrect,False,False,0.0,0.0
trace_00115,symbolic_logic,correct,trace_00117,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00116,symbolic_logic,correct,trace_00097,symbolic_logic,incorrect,True,False,0.0,0.0
trace_00117,symbolic_logic,incorrect,trace_00118,symbolic_logic,correct,True,False,0.0,0.0
