prompt_id,task_family,n_trials,outcome_entropy,dominant_outcome,dominant_outcome_share
arith_001,arithmetic,15,0.0,correct,1.0
arith_002,arithmetic,15,0.0,correct,1.0
arith_003,arithmetic,15,0.5665095065529053,correct,0.8666666666666667
arith_004,arithmetic,15,0.9709505944546686,incorrect,0.6
causal_001,causal_micro_world,15,0.7219280948873623,incorrect,0.8
causal_002,causal_micro_world,15,0.9967916319816366,correct,0.5333333333333333
causal_003,causal_micro_world,15,0.9709505944546686,correct,0.6
causal_004,causal_micro_world,15,0.35335933502142136,correct,0.9333333333333333
commonsense_001,commonsense_multihop,15,0.5665095065529053,incorrect,0.8666666666666667
commonsense_002,commonsense_multihop,15,0.5665095065529053,correct,0.8666666666666667
commonsense_003,commonsense_multihop,15,0.9182958340544896,incorrect,0.6666666666666666
commonsense_004,commonsense_multihop,15,0.9182958340544896,incorrect,0.6666666666666666
logic_001,symbolic_logic,15,0.9967916319816366,correct,0.5333333333333333
logic_002,symbolic_logic,15,0.9709505944546686,incorrect,0.6
logic_003,symbolic_logic,15,0.9709505944546686,incorrect,0.6
logic_004,symbolic_logic,15,0.7219280948873623,correct,0.8
temporal_001,temporal_ordering,15,0.9182958340544896,correct,0.6666666666666666
temporal_002,temporal_ordering,15,0.8366407419411673,correct,0.7333333333333333
temporal_003,temporal_ordering,15,0.9967916319816366,incorrect,0.5333333333333333
temporal_004,temporal_ordering,15,0.0,incorrect,1.0
