prompt_id,task_family,outcome,phase,n_deltas,phase_entropy,dominant_cluster,dominant_cluster_share
arith_001,arithmetic,correct,early,4,1.5,2,0.5
arith_001,arithmetic,correct,late,18,1.275162982784857,4,0.7222222222222222
arith_001,arithmetic,correct,middle,16,0.3372900666170139,2,0.9375
arith_002,arithmetic,correct,early,3,0.9182958340544896,3,0.6666666666666666
arith_002,arithmetic,correct,late,16,1.198192411043098,4,0.625
arith_002,arithmetic,correct,middle,15,0.35335933502142136,2,0.9333333333333333
arith_003,arithmetic,correct,early,11,0.4394969869215134,2,0.9090909090909091
arith_003,arithmetic,incorrect,early,1,-0.0,2,1.0
arith_003,arithmetic,correct,late,18,1.7471671973069338,3,0.4444444444444444
arith_003,arithmetic,incorrect,late,2,1.0,4,0.5
arith_003,arithmetic,correct,middle,17,2.145136370153053,3,0.35294117647058826
arith_003,arithmetic,incorrect,middle,1,-0.0,3,1.0
arith_004,arithmetic,correct,early,9,1.4355205042826666,0,0.5555555555555556
arith_004,arithmetic,incorrect,early,5,-0.0,0,1.0
arith_004,arithmetic,correct,late,13,1.8262452584026092,4,0.38461538461538464
arith_004,arithmetic,incorrect,late,11,1.5394847569315018,4,0.45454545454545453
arith_004,arithmetic,correct,middle,10,1.6854752972273346,4,0.5
arith_004,arithmetic,incorrect,middle,10,1.7219280948873623,3,0.4
causal_001,causal_micro_world,correct,early,3,0.9182958340544896,1,0.6666666666666666
causal_001,causal_micro_world,incorrect,early,2,1.0,1,0.5
causal_001,causal_micro_world,correct,late,6,1.584962500721156,4,0.3333333333333333
causal_001,causal_micro_world,incorrect,late,13,1.7272486062639207,1,0.5384615384615384
causal_001,causal_micro_world,correct,middle,3,0.9182958340544896,1,0.6666666666666666
causal_001,causal_micro_world,incorrect,middle,12,0.41381685030363374,1,0.9166666666666666
causal_002,causal_micro_world,correct,early,8,-0.0,2,1.0
causal_002,causal_micro_world,incorrect,early,7,0.863120568566631,2,0.7142857142857143
causal_002,causal_micro_world,correct,late,12,0.41381685030363374,3,0.9166666666666666
causal_002,causal_micro_world,incorrect,late,10,0.7219280948873623,3,0.8
causal_002,causal_micro_world,correct,middle,9,0.5032583347756457,4,0.8888888888888888
causal_002,causal_micro_world,incorrect,middle,7,-0.0,4,1.0
causal_003,causal_micro_world,correct,early,9,-0.0,1,1.0
causal_003,causal_micro_world,incorrect,early,6,-0.0,1,1.0
causal_003,causal_micro_world,correct,late,9,0.5032583347756457,3,0.8888888888888888
causal_003,causal_micro_world,incorrect,late,6,-0.0,3,1.0
causal_003,causal_micro_world,correct,middle,9,-0.0,3,1.0
causal_003,causal_micro_world,incorrect,middle,6,-0.0,3,1.0
causal_004,causal_micro_world,correct,early,15,-0.0,4,1.0
causal_004,causal_micro_world,incorrect,early,1,-0.0,4,1.0
causal_004,causal_micro_world,correct,late,21,0.7918583525674836,3,0.7619047619047619
causal_004,causal_micro_world,incorrect,late,1,-0.0,3,1.0
causal_004,causal_micro_world,correct,middle,16,1.2987949406953985,1,0.625
causal_004,causal_micro_world,incorrect,middle,1,-0.0,1,1.0
commonsense_001,commonsense_multihop,correct,early,3,0.9182958340544896,3,0.6666666666666666
commonsense_001,commonsense_multihop,incorrect,early,20,1.8464393446710154,3,0.4
commonsense_001,commonsense_multihop,correct,late,4,1.5,3,0.5
commonsense_001,commonsense_multihop,incorrect,late,28,1.89080534064878,3,0.39285714285714285
commonsense_001,commonsense_multihop,correct,middle,3,0.9182958340544896,4,0.6666666666666666
commonsense_001,commonsense_multihop,incorrect,middle,23,1.630982607666543,1,0.5217391304347826
commonsense_002,commonsense_multihop,correct,early,13,1.1451104143815827,1,0.7692307692307693
commonsense_002,commonsense_multihop,incorrect,early,2,1.0,1,0.5
commonsense_002,commonsense_multihop,correct,late,21,1.615250265088252,1,0.5238095238095238
commonsense_002,commonsense_multihop,incorrect,late,3,0.9182958340544896,1,0.6666666666666666
commonsense_002,commonsense_multihop,correct,middle,13,1.760495029766198,1,0.38461538461538464
commonsense_002,commonsense_multihop,incorrect,middle,2,1.0,4,0.5
commonsense_003,commonsense_multihop,correct,early,5,0.7219280948873623,4,0.8
