task_family,outcome,n_prompts,n_traces,observed_prompt_margin,observed_pairwise_margin,bootstrap_ci_low,bootstrap_ci_high,positive_prompt_share,permutation_null_mean,permutation_null_std,permutation_p_value,permutation_z_score
causal_micro_world,incorrect,4,26,0.3516140143857632,0.3993884015232839,0.265004345878939,0.4167433793630852,1.0,-0.0012084779046117968,0.039366087619897544,0.000999000999000999,10.176192343417295
temporal_ordering,incorrect,4,32,0.24051641816606067,0.3467628838734155,0.1253686235688821,0.3935215788740768,1.0,0.0002174505191364315,0.03511762364864645,0.000999000999000999,9.86813449627125
causal_micro_world,correct,4,34,0.3541575043430965,0.3029629866343917,0.27175773087136845,0.46322338622906256,1.0,0.000993116136754635,0.022753972008354828,0.000999000999000999,13.27108385238232
arithmetic,correct,4,49,0.22832611668235808,0.1889763291601116,0.0963634930308771,0.37187952542538094,1.0,0.0006694930175978879,0.01651166797781422,0.000999000999000999,11.4044708502818
symbolic_logic,incorrect,4,28,0.14134409806566045,0.158235240446767,0.07089387269659639,0.2195568663954735,1.0,0.0012277372737503971,0.020902382707911508,0.000999000999000999,7.5114643802588885
symbolic_logic,correct,4,32,0.1223158339217991,0.1426746201205656,0.08156062114341711,0.16588148583812545,1.0,-0.00045116414127368876,0.020317152293498182,0.000999000999000999,7.044578993860367
commonsense_multihop,incorrect,4,35,0.03245645999799103,0.07050337027372583,-0.03135377559218532,0.1046799783246251,0.75,-0.0006484907051218854,0.019573674501956247,0.001998001998001998,3.6350794007398353
commonsense_multihop,correct,4,25,0.18269856090368436,0.08567505623659394,0.10828593875621187,0.23140621512750847,1.0,-0.0003703150548719788,0.027616850728838665,0.004995004995004995,3.1156836866128894
temporal_ordering,correct,3,28,0.10604806051871211,0.07069651470103122,0.0248517135502145,0.1524841112380247,1.0,0.0013635860460903318,0.025012362591169717,0.015984015984015984,2.7719464085898853
arithmetic,incorrect,2,11,0.12517046384804278,0.5078923367824617,-0.0724170861956701,0.3227580138917557,0.5,-0.0031663688318481023,0.14812221706332912,0.02097902097902098,3.45025017682397
