task_family,outcome,residual_cluster,count
arithmetic,correct,0,20
arithmetic,correct,1,10
arithmetic,correct,2,46
arithmetic,correct,3,30
arithmetic,correct,4,44
arithmetic,incorrect,0,12
arithmetic,incorrect,1,1
arithmetic,incorrect,2,2
arithmetic,incorrect,3,8
arithmetic,incorrect,4,7
causal_micro_world,correct,0,2
causal_micro_world,correct,1,31
causal_micro_world,correct,2,9
causal_micro_world,correct,3,49
causal_micro_world,correct,4,29
causal_micro_world,incorrect,0,3
causal_micro_world,incorrect,1,26
causal_micro_world,incorrect,2,7
causal_micro_world,incorrect,3,26
causal_micro_world,incorrect,4,10
commonsense_multihop,correct,0,8
commonsense_multihop,correct,1,42
commonsense_multihop,correct,3,23
commonsense_multihop,correct,4,23
commonsense_multihop,incorrect,0,28
commonsense_multihop,incorrect,1,48
commonsense_multihop,incorrect,3,56
commonsense_multihop,incorrect,4,24
symbolic_logic,correct,0,41
symbolic_logic,correct,1,14
symbolic_logic,correct,3,37
symbolic_logic,correct,4,4
symbolic_logic,incorrect,0,31
symbolic_logic,incorrect,1,14
symbolic_logic,incorrect,3,34
temporal_ordering,correct,0,16
temporal_ordering,correct,1,9
temporal_ordering,correct,3,36
temporal_ordering,correct,4,46
temporal_ordering,incorrect,0,9
temporal_ordering,incorrect,1,19
temporal_ordering,incorrect,2,1
temporal_ordering,incorrect,3,37
temporal_ordering,incorrect,4,30
