task_family,outcome,phase,residual_cluster,count
arithmetic,correct,early,0,6
arithmetic,correct,early,1,3
arithmetic,correct,early,2,12
arithmetic,correct,early,3,5
arithmetic,correct,early,4,1
arithmetic,correct,late,0,8
arithmetic,correct,late,1,4
arithmetic,correct,late,2,2
arithmetic,correct,late,3,18
arithmetic,correct,late,4,33
arithmetic,correct,middle,0,6
arithmetic,correct,middle,1,3
arithmetic,correct,middle,2,32
arithmetic,correct,middle,3,7
arithmetic,correct,middle,4,10
arithmetic,incorrect,early,0,5
arithmetic,incorrect,early,2,1
arithmetic,incorrect,late,0,3
arithmetic,incorrect,late,2,1
arithmetic,incorrect,late,3,3
arithmetic,incorrect,late,4,6
arithmetic,incorrect,middle,0,4
arithmetic,incorrect,middle,1,1
arithmetic,incorrect,middle,3,5
arithmetic,incorrect,middle,4,1
causal_micro_world,correct,early,1,11
causal_micro_world,correct,early,2,8
causal_micro_world,correct,early,3,1
causal_micro_world,correct,early,4,15
causal_micro_world,correct,late,1,8
causal_micro_world,correct,late,2,1
causal_micro_world,correct,late,3,37
causal_micro_world,correct,late,4,2
causal_micro_world,correct,middle,0,2
causal_micro_world,correct,middle,1,12
causal_micro_world,correct,middle,3,11
causal_micro_world,correct,middle,4,12
causal_micro_world,incorrect,early,0,1
causal_micro_world,incorrect,early,1,7
causal_micro_world,incorrect,early,2,5
causal_micro_world,incorrect,early,3,2
causal_micro_world,incorrect,early,4,1
causal_micro_world,incorrect,late,0,2
causal_micro_world,incorrect,late,1,7
causal_micro_world,incorrect,late,2,2
causal_micro_world,incorrect,late,3,17
causal_micro_world,incorrect,late,4,2
causal_micro_world,incorrect,middle,1,12
causal_micro_world,incorrect,middle,3,7
causal_micro_world,incorrect,middle,4,7
commonsense_multihop,correct,early,0,1
commonsense_multihop,correct,early,1,12
commonsense_multihop,correct,early,3,5
commonsense_multihop,correct,early,4,8
commonsense_multihop,correct,late,0,4
commonsense_multihop,correct,late,1,20
commonsense_multihop,correct,late,3,10
commonsense_multihop,correct,late,4,9
commonsense_multihop,correct,middle,0,3
commonsense_multihop,correct,middle,1,10
commonsense_multihop,correct,middle,3,8
commonsense_multihop,correct,middle,4,6
commonsense_multihop,incorrect,early,0,7
commonsense_multihop,incorrect,early,1,15
commonsense_multihop,incorrect,early,3,13
commonsense_multihop,incorrect,early,4,8
commonsense_multihop,incorrect,late,0,13
commonsense_multihop,incorrect,late,1,15
commonsense_multihop,incorrect,late,3,26
commonsense_multihop,incorrect,late,4,12
commonsense_multihop,incorrect,middle,0,8
commonsense_multihop,incorrect,middle,1,18
commonsense_multihop,incorrect,middle,3,17
commonsense_multihop,incorrect,middle,4,4
symbolic_logic,correct,early,0,1
symbolic_logic,correct,early,1,6
symbolic_logic,correct,early,3,15
symbolic_logic,correct,early,4,1
symbolic_logic,correct,late,0,21
symbolic_logic,correct,late,1,6
symbolic_logic,correct,late,3,11
symbolic_logic,correct,late,4,2
symbolic_logic,correct,middle,0,19
symbolic_logic,correct,middle,1,2
symbolic_logic,correct,middle,3,11
symbolic_logic,correct,middle,4,1
symbolic_logic,incorrect,early,0,1
symbolic_logic,incorrect,early,1,6
symbolic_logic,incorrect,early,3,9
symbolic_logic,incorrect,late,0,14
symbolic_logic,incorrect,late,1,6
symbolic_logic,incorrect,late,3,14
symbolic_logic,incorrect,middle,0,16
symbolic_logic,incorrect,middle,1,2
symbolic_logic,incorrect,middle,3,11
temporal_ordering,correct,early,0,1
temporal_ordering,correct,early,1,6
temporal_ordering,correct,early,3,7
temporal_ordering,correct,early,4,11
temporal_ordering,correct,late,0,8
temporal_ordering,correct,late,1,1
temporal_ordering,correct,late,3,20
temporal_ordering,correct,late,4,14
temporal_ordering,correct,middle,0,7
temporal_ordering,correct,middle,1,2
temporal_ordering,correct,middle,3,9
temporal_ordering,correct,middle,4,21
temporal_ordering,incorrect,early,0,1
temporal_ordering,incorrect,early,1,1
temporal_ordering,incorrect,early,3,2
temporal_ordering,incorrect,early,4,13
temporal_ordering,incorrect,late,0,4
temporal_ordering,incorrect,late,1,16
temporal_ordering,incorrect,late,2,1
temporal_ordering,incorrect,late,3,13
temporal_ordering,incorrect,late,4,7
temporal_ordering,incorrect,middle,0,4
temporal_ordering,incorrect,middle,1,2
temporal_ordering,incorrect,middle,3,22
temporal_ordering,incorrect,middle,4,10
