task_family,phase,correct_count,incorrect_count,correct_mode_cluster,incorrect_mode_cluster,same_mode_cluster,js_divergence,tv_distance,correct_residual_norm_mean,incorrect_residual_norm_mean,residual_norm_gap
arithmetic,middle,58,11,2,3,False,0.418887781481455,0.6332288401253918,0.9908893967241379,0.9785478936363637,-0.012341503087774153
arithmetic,early,27,6,2,0,False,0.349829885440357,0.611111111111111,0.9832484462962964,0.9926533733333334,0.009404927037036992
temporal_ordering,late,43,41,3,1,False,0.19238092352958358,0.39137833238797504,0.9659500439534885,0.97772082,0.011770776046511555
causal_micro_world,early,35,16,4,1,False,0.1773573722417627,0.3660714285714286,0.9757756897142856,0.971134046875,-0.004641642839285587
temporal_ordering,early,25,17,4,4,True,0.10037612747839113,0.34352941176470586,0.9690420891999999,0.9686735482352942,-0.0003685409647057325
temporal_ordering,middle,39,38,4,3,False,0.09767087827407163,0.34952766531713897,0.9614906171794871,0.9793999518421052,0.017909334662618015
causal_micro_world,late,48,30,3,3,True,0.05985015307100421,0.20416666666666672,0.968569981875,0.9726488213333335,0.0040788394583335386
commonsense_multihop,late,43,66,1,3,False,0.05967951034320494,0.2653276955602537,0.9761948058139537,0.9765318437878788,0.00033703797392514723
commonsense_multihop,early,26,43,1,1,True,0.055299790231671184,0.23434704830053668,0.9789662096153846,0.9739803839534885,-0.004985825661896093
arithmetic,late,65,13,4,4,True,0.0524590893284638,0.15384615384615383,0.9754138501538461,0.976313356923077,0.0008995067692308956
symbolic_logic,late,40,34,0,0,True,0.04061308762446593,0.16323529411764706,0.983481767,0.9796958261764706,-0.0037859408235294545
causal_micro_world,middle,37,26,1,1,True,0.03806126977619172,0.13721413721413725,0.9706919291891893,0.9761372053846155,0.005445276195426119
symbolic_logic,early,23,16,3,3,True,0.03279571447723771,0.1331521739130435,0.9812222526086959,0.9898145762499999,0.008592323641304023
commonsense_multihop,middle,27,47,1,1,True,0.02979816460371512,0.13711583924349885,0.9807378281481479,0.9798610789361702,-0.0008767492119776676
symbolic_logic,middle,33,29,0,0,True,0.01660155023116544,0.0543364681295716,0.9825898684848485,0.982647631724138,5.7763239289521096e-05
