prompt_id,temperature_tag,outcome,share
arith_001,0p2,correct,1.0
arith_001,0p5,correct,1.0
arith_001,0p8,correct,1.0
arith_002,0p2,correct,1.0
arith_002,0p5,correct,1.0
arith_002,0p8,correct,1.0
arith_003,0p2,correct,1.0
arith_003,0p5,correct,0.8
arith_003,0p5,incorrect,0.2
arith_003,0p8,correct,0.8
arith_003,0p8,incorrect,0.2
arith_004,0p2,incorrect,0.6
arith_004,0p2,correct,0.4
arith_004,0p5,incorrect,0.6
arith_004,0p5,correct,0.4
arith_004,0p8,incorrect,0.6
arith_004,0p8,correct,0.4
causal_001,0p2,incorrect,1.0
causal_001,0p5,incorrect,0.6
causal_001,0p5,correct,0.4
causal_001,0p8,incorrect,0.8
causal_001,0p8,correct,0.2
causal_002,0p2,correct,0.6
causal_002,0p2,incorrect,0.4
causal_002,0p5,incorrect,0.6
causal_002,0p5,correct,0.4
causal_002,0p8,correct,0.6
causal_002,0p8,incorrect,0.4
causal_003,0p2,correct,0.8
causal_003,0p2,incorrect,0.2
causal_003,0p5,correct,0.6
causal_003,0p5,incorrect,0.4
causal_003,0p8,incorrect,0.6
causal_003,0p8,correct,0.4
causal_004,0p2,correct,1.0
causal_004,0p5,correct,1.0
causal_004,0p8,correct,0.8
causal_004,0p8,incorrect,0.2
commonsense_001,0p2,incorrect,1.0
commonsense_001,0p5,incorrect,0.8
commonsense_001,0p5,correct,0.2
commonsense_001,0p8,incorrect,0.8
commonsense_001,0p8,correct,0.2
commonsense_002,0p2,correct,1.0
commonsense_002,0p5,correct,1.0
commonsense_002,0p8,correct,0.6
commonsense_002,0p8,incorrect,0.4
commonsense_003,0p2,correct,0.8
commonsense_003,0p2,incorrect,0.2
commonsense_003,0p5,incorrect,0.8
commonsense_003,0p5,correct,0.2
commonsense_003,0p8,incorrect,1.0
commonsense_004,0p2,correct,0.8
commonsense_004,0p2,incorrect,0.2
commonsense_004,0p5,incorrect,0.8
commonsense_004,0p5,correct,0.2
commonsense_004,0p8,incorrect,1.0
logic_001,0p2,incorrect,0.6
logic_001,0p2,correct,0.4
logic_001,0p5,correct,0.8
logic_001,0p5,incorrect,0.2
logic_001,0p8,incorrect,0.6
logic_001,0p8,correct,0.4
logic_002,0p2,correct,0.8
logic_002,0p2,incorrect,0.2
logic_002,0p5,incorrect,0.8
logic_002,0p5,correct,0.2
logic_002,0p8,incorrect,0.8
logic_002,0p8,correct,0.2
logic_003,0p2,incorrect,0.6
logic_003,0p2,correct,0.4
logic_003,0p5,incorrect,0.6
logic_003,0p5,correct,0.4
logic_003,0p8,incorrect,0.6
logic_003,0p8,correct,0.4
logic_004,0p2,correct,0.6
logic_004,0p2,incorrect,0.4
logic_004,0p5,correct,1.0
logic_004,0p8,correct,0.8
logic_004,0p8,incorrect,0.2
temporal_001,0p2,correct,0.6
temporal_001,0p2,incorrect,0.4
temporal_001,0p5,correct,0.6
temporal_001,0p5,incorrect,0.4
temporal_001,0p8,correct,0.8
temporal_001,0p8,incorrect,0.2
temporal_002,0p2,correct,0.6
temporal_002,0p2,incorrect,0.4
temporal_002,0p5,correct,0.8
temporal_002,0p5,incorrect,0.2
temporal_002,0p8,correct,0.8
temporal_002,0p8,incorrect,0.2
temporal_003,0p2,correct,1.0
temporal_003,0p5,incorrect,0.8
temporal_003,0p5,correct,0.2
temporal_003,0p8,incorrect,0.8
temporal_003,0p8,correct,0.2
temporal_004,0p2,incorrect,1.0
temporal_004,0p5,incorrect,1.0
temporal_004,0p8,incorrect,1.0
