trace_id,prompt_id,task_family,outcome,temperature_tag,transition,from_cluster,to_cluster,transition_path
trace_00001,arith_001,arithmetic,correct,0p2,middle_to_late,2,4,2->4
trace_00002,arith_001,arithmetic,correct,0p2,middle_to_late,2,4,2->4
trace_00003,arith_001,arithmetic,correct,0p2,middle_to_late,2,4,2->4
trace_00004,arith_001,arithmetic,correct,0p2,middle_to_late,2,4,2->4
trace_00005,arith_001,arithmetic,correct,0p2,middle_to_late,2,4,2->4
trace_00006,arith_001,arithmetic,correct,0p5,middle_to_late,2,4,2->4
trace_00007,arith_001,arithmetic,correct,0p5,middle_to_late,2,4,2->4
trace_00008,arith_001,arithmetic,correct,0p5,middle_to_late,2,4,2->4
trace_00009,arith_001,arithmetic,correct,0p5,middle_to_late,2,4,2->4
trace_00010,arith_001,arithmetic,correct,0p5,early_to_middle,2,4,2->4
trace_00010,arith_001,arithmetic,correct,0p5,middle_to_late,4,2,4->2
trace_00011,arith_001,arithmetic,correct,0p8,early_to_middle,3,2,3->2
trace_00011,arith_001,arithmetic,correct,0p8,middle_to_late,2,4,2->4
trace_00012,arith_001,arithmetic,correct,0p8,middle_to_late,2,4,2->4
trace_00013,arith_001,arithmetic,correct,0p8,middle_to_late,2,4,2->4
trace_00014,arith_001,arithmetic,correct,0p8,middle_to_late,2,4,2->4
trace_00015,arith_001,arithmetic,correct,0p8,early_to_middle,2,2,2->2
trace_00015,arith_001,arithmetic,correct,0p8,middle_to_late,2,1,2->1
trace_00016,arith_002,arithmetic,correct,0p2,middle_to_late,2,4,2->4
trace_00017,arith_002,arithmetic,correct,0p2,middle_to_late,2,4,2->4
trace_00018,arith_002,arithmetic,correct,0p2,middle_to_late,2,4,2->4
trace_00019,arith_002,arithmetic,correct,0p2,middle_to_late,2,4,2->4
trace_00020,arith_002,arithmetic,correct,0p2,middle_to_late,2,3,2->3
trace_00021,arith_002,arithmetic,correct,0p5,early_to_middle,3,1,3->1
trace_00021,arith_002,arithmetic,correct,0p5,middle_to_late,1,4,1->4
trace_00022,arith_002,arithmetic,correct,0p5,middle_to_late,2,4,2->4
trace_00023,arith_002,arithmetic,correct,0p5,middle_to_late,2,4,2->4
trace_00024,arith_002,arithmetic,correct,0p5,middle_to_late,2,3,2->3
trace_00025,arith_002,arithmetic,correct,0p5,early_to_middle,1,2,1->2
trace_00025,arith_002,arithmetic,correct,0p5,middle_to_late,2,4,2->4
